"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California!!Estimate","Compton CCD, Los Angeles County, California!!Estimate","Downey-Norwalk CCD, Los Angeles County, California!!Estimate","East San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Inglewood CCD, Los Angeles County, California!!Estimate","Long Beach-Lakewood CCD, Los Angeles County, California!!Estimate","Los Angeles CCD, Los Angeles County, California!!Estimate","Newhall CCD, Los Angeles County, California!!Estimate","North Antelope Valley CCD, Los Angeles County, California!!Estimate","Palos Verdes CCD, Los Angeles County, California!!Estimate","Pasadena CCD, Los Angeles County, California!!Estimate","San Fernando Valley CCD, Los Angeles County, California!!Estimate","Santa Monica CCD, Los Angeles County, California!!Estimate","South Antelope Valley CCD, Los Angeles County, California!!Estimate","South Bay Cities CCD, Los Angeles County, California!!Estimate","South Gate-East Los Angeles CCD, Los Angeles County, California!!Estimate","Southwest San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Torrance CCD, Los Angeles County, California!!Estimate","Upper San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Whittier CCD, Los Angeles County, California!!Estimate"
"        10 to 14 minutes","1,370","5,920","8,638","21,665","7,648","13,093","43,809","6,301","5,871","1,593","6,755","37,570","2,991","4,070","2,922","7,580","7,330","4,188","6,824","5,820"
"        15 to 19 minutes","1,032","9,541","11,041","24,259","12,582","16,958","59,700","7,021","6,856","1,762","6,963","49,871","2,683","6,549","4,187","10,580","9,073","4,029","9,181","8,297"
"        20 to 24 minutes","1,182","11,731","12,019","23,312","11,329","17,443","67,048","4,826","4,664","1,393","6,258","47,617","2,039","5,211","2,567","13,047","9,012","3,759","8,270","8,666"
"        25 to 29 minutes","494","4,426","4,965","9,052","5,456","6,367","29,090","2,156","1,066","951","2,721","20,350","970","1,432","1,515","5,038","4,323","1,815","3,889","3,810"
"        30 to 34 minutes","855","12,349","12,438","26,474","11,056","17,605","90,800","3,844","2,124","1,610","7,439","55,777","2,460","2,840","1,991","15,599","10,324","3,232","10,268","9,570"
"        35 to 39 minutes","269","1,497","2,250","4,568","2,158","3,703","15,707","1,132","326","424","1,233","11,900","707","415","687","2,166","2,049","652","1,446","2,279"
"        40 to 44 minutes","156","3,021","3,462","8,179","3,769","5,942","25,470","2,595","607","1,040","2,509","16,848","597","929","725","4,347","2,998","779","2,824","3,344"
"        45 to 59 minutes","681","4,951","7,361","18,678","6,862","10,533","44,464","5,572","2,549","1,363","3,943","32,759","1,439","3,358","2,118","7,177","5,820","1,886","4,943","6,713"
"        60 to 89 minutes","806","4,282","6,007","16,380","5,815","8,535","37,560","5,247","2,097","1,026","3,705","27,797","1,085","4,718","2,285","7,299","4,300","1,769","3,862","5,367"
"        90 or more minutes","312","1,801","2,348","5,948","1,826","3,339","14,504","1,761","1,755","399","1,212","8,553","170","3,245","493","2,245","1,711","549","1,408","2,086"
