Label (Grouping),Median income (dollars)
        Estimate,"75,486"
        Margin of Error,"±16,506"
    Families,
        Estimate,"82,298"
        Margin of Error,"±17,833"
    Married-couple families,
        Estimate,"97,361"
        Margin of Error,"±11,135"
    Nonfamily households,
        Estimate,"26,023"
        Margin of Error,"±9,354"
"Census Tract 1221.20, Los Angeles County, California",
    Households,
        Estimate,"61,625"
        Margin of Error,"±9,357"
    Families,
        Estimate,"60,852"
        Margin of Error,"±16,777"
    Married-couple families,
        Estimate,"54,410"
        Margin of Error,"±22,168"
    Nonfamily households,
        Estimate,"58,750"
        Margin of Error,"±8,127"
"Census Tract 1221.21, Los Angeles County, California",
    Households,
        Estimate,"53,125"
        Margin of Error,"±6,766"
    Families,
        Estimate,"53,047"
        Margin of Error,"±6,858"
    Married-couple families,
        Estimate,"55,509"
        Margin of Error,"±8,811"
    Nonfamily households,
        Estimate,"37,917"
        Margin of Error,"±15,407"
"Census Tract 1221.22, Los Angeles County, California",
    Households,
        Estimate,"41,811"
        Margin of Error,"±6,104"
    Families,
        Estimate,"42,336"
        Margin of Error,"±9,971"
    Married-couple families,
        Estimate,"41,653"
        Margin of Error,"±9,428"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1222, Los Angeles County, California",
    Households,
        Estimate,"54,250"
        Margin of Error,"±6,263"
    Families,
        Estimate,"57,656"
        Margin of Error,"±9,589"
    Married-couple families,
        Estimate,"63,077"
        Margin of Error,"±7,539"
    Nonfamily households,
        Estimate,"30,469"
        Margin of Error,"±18,224"
"Census Tract 1224.10, Los Angeles County, California",
    Households,
        Estimate,"36,222"
        Margin of Error,"±5,363"
    Families,
        Estimate,"37,215"
        Margin of Error,"±6,100"
    Married-couple families,
        Estimate,"36,491"
        Margin of Error,"±6,267"
    Nonfamily households,
        Estimate,"29,125"
        Margin of Error,"±14,571"
"Census Tract 1224.20, Los Angeles County, California",
    Households,
        Estimate,"44,967"
        Margin of Error,"±10,661"
    Families,
        Estimate,"48,550"
        Margin of Error,"±21,631"
    Married-couple families,
        Estimate,"62,865"
        Margin of Error,"±26,099"
    Nonfamily households,
        Estimate,"21,875"
        Margin of Error,"±14,465"
"Census Tract 1230.10, Los Angeles County, California",
    Households,
        Estimate,"36,518"
        Margin of Error,"±8,496"
    Families,
        Estimate,"42,692"
        Margin of Error,"±10,928"
    Married-couple families,
        Estimate,"54,000"
        Margin of Error,"±10,027"
    Nonfamily households,
        Estimate,"16,551"
        Margin of Error,"±2,856"
"Census Tract 1230.20, Los Angeles County, California",
    Households,
        Estimate,"42,056"
        Margin of Error,"±12,406"
    Families,
        Estimate,"42,419"
        Margin of Error,"±16,384"
    Married-couple families,
        Estimate,"71,481"
        Margin of Error,"±20,942"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1231.03, Los Angeles County, California",
    Households,
        Estimate,"48,902"
        Margin of Error,"±8,245"
    Families,
        Estimate,"52,898"
        Margin of Error,"±7,174"
    Married-couple families,
        Estimate,"56,848"
        Margin of Error,"±24,977"
    Nonfamily households,
        Estimate,"40,954"
        Margin of Error,"±14,731"
"Census Tract 1231.04, Los Angeles County, California",
    Households,
        Estimate,"41,766"
        Margin of Error,"±5,612"
    Families,
        Estimate,"53,469"
        Margin of Error,"±20,322"
    Married-couple families,
        Estimate,"68,710"
        Margin of Error,"±18,882"
    Nonfamily households,
        Estimate,"30,000"
        Margin of Error,"±6,340"
"Census Tract 1232.03, Los Angeles County, California",
    Households,
        Estimate,"48,850"
        Margin of Error,"±13,600"
    Families,
        Estimate,"51,012"
        Margin of Error,"±13,161"
    Married-couple families,
        Estimate,"53,676"
        Margin of Error,"±3,529"
    Nonfamily households,
        Estimate,"32,134"
        Margin of Error,"±26,013"
"Census Tract 1232.04, Los Angeles County, California",
    Households,
        Estimate,"41,375"
        Margin of Error,"±6,920"
    Families,
        Estimate,"50,938"
        Margin of Error,"±14,026"
    Married-couple families,
        Estimate,"52,083"
        Margin of Error,"±26,923"
    Nonfamily households,
        Estimate,"32,330"
        Margin of Error,"±13,273"
"Census Tract 1232.05, Los Angeles County, California",
    Households,
        Estimate,"46,083"
        Margin of Error,"±5,995"
    Families,
        Estimate,"53,382"
        Margin of Error,"±6,184"
    Married-couple families,
        Estimate,"54,926"
        Margin of Error,"±10,197"
    Nonfamily households,
        Estimate,"22,243"
        Margin of Error,"±13,535"
"Census Tract 1232.06, Los Angeles County, California",
    Households,
        Estimate,"32,266"
        Margin of Error,"±4,110"
    Families,
        Estimate,"37,904"
        Margin of Error,"±9,026"
    Married-couple families,
        Estimate,"39,784"
        Margin of Error,"±12,188"
    Nonfamily households,
        Estimate,"25,433"
        Margin of Error,"±7,550"
"Census Tract 1233.01, Los Angeles County, California",
    Households,
        Estimate,"57,031"
        Margin of Error,"±13,893"
    Families,
        Estimate,"81,607"
        Margin of Error,"±19,318"
    Married-couple families,
        Estimate,"83,750"
        Margin of Error,"±31,972"
    Nonfamily households,
        Estimate,"32,017"
        Margin of Error,"±9,874"
"Census Tract 1233.03, Los Angeles County, California",
    Households,
        Estimate,"44,477"
        Margin of Error,"±10,585"
    Families,
        Estimate,"49,063"
        Margin of Error,"±14,404"
    Married-couple families,
        Estimate,"62,708"
        Margin of Error,"±21,737"
    Nonfamily households,
        Estimate,"27,097"
        Margin of Error,"±20,268"
"Census Tract 1233.04, Los Angeles County, California",
    Households,
        Estimate,"39,631"
        Margin of Error,"±7,250"
    Families,
        Estimate,"48,889"
        Margin of Error,"±10,406"
    Married-couple families,
        Estimate,"58,912"
        Margin of Error,"±7,912"
    Nonfamily households,
        Estimate,"20,028"
        Margin of Error,"±8,865"
"Census Tract 1234.10, Los Angeles County, California",
    Households,
        Estimate,"50,481"
        Margin of Error,"±11,837"
    Families,
        Estimate,"51,213"
        Margin of Error,"±12,732"
    Married-couple families,
        Estimate,"57,000"
        Margin of Error,"±25,309"
    Nonfamily households,
        Estimate,"33,940"
        Margin of Error,"±8,186"
"Census Tract 1234.20, Los Angeles County, California",
    Households,
        Estimate,"44,790"
        Margin of Error,"±8,189"
    Families,
        Estimate,"50,472"
        Margin of Error,"±9,040"
    Married-couple families,
        Estimate,"61,289"
        Margin of Error,"±16,790"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1235.10, Los Angeles County, California",
    Households,
        Estimate,"45,338"
        Margin of Error,"±10,526"
    Families,
        Estimate,"53,464"
        Margin of Error,"±10,150"
    Married-couple families,
        Estimate,"63,115"
        Margin of Error,"±15,472"
    Nonfamily households,
        Estimate,"12,046"
        Margin of Error,"±6,964"
"Census Tract 1235.20, Los Angeles County, California",
    Households,
        Estimate,"45,521"
        Margin of Error,"±8,821"
    Families,
        Estimate,"44,541"
        Margin of Error,"±9,978"
    Married-couple families,
        Estimate,"47,500"
        Margin of Error,"±27,733"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1236.01, Los Angeles County, California",
    Households,
        Estimate,"55,241"
        Margin of Error,"±5,845"
    Families,
        Estimate,"75,750"
        Margin of Error,"±11,776"
    Married-couple families,
        Estimate,"101,750"
        Margin of Error,"±33,650"
    Nonfamily households,
        Estimate,"31,122"
        Margin of Error,"±15,242"
"Census Tract 1236.02, Los Angeles County, California",
    Households,
        Estimate,"50,667"
        Margin of Error,"±9,566"
    Families,
        Estimate,"58,598"
        Margin of Error,"±15,910"
    Married-couple families,
        Estimate,"83,684"
        Margin of Error,"±44,903"
    Nonfamily households,
        Estimate,"27,031"
        Margin of Error,"±9,495"
"Census Tract 1237, Los Angeles County, California",
    Households,
        Estimate,"65,278"
        Margin of Error,"±14,059"
    Families,
        Estimate,"83,099"
        Margin of Error,"±13,270"
    Married-couple families,
        Estimate,"84,349"
        Margin of Error,"±11,453"
    Nonfamily households,
        Estimate,"26,903"
        Margin of Error,"±13,400"
"Census Tract 1238, Los Angeles County, California",
    Households,
        Estimate,"75,096"
        Margin of Error,"±27,454"
    Families,
        Estimate,"82,031"
        Margin of Error,"±16,492"
    Married-couple families,
        Estimate,"112,083"
        Margin of Error,"±26,179"
    Nonfamily households,
        Estimate,"50,202"
        Margin of Error,"±16,672"
"Census Tract 1239.01, Los Angeles County, California",
    Households,
        Estimate,"66,771"
        Margin of Error,"±22,414"
    Families,
        Estimate,"85,227"
        Margin of Error,"±23,930"
    Married-couple families,
        Estimate,"86,020"
        Margin of Error,"±32,585"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1239.02, Los Angeles County, California",
    Households,
        Estimate,"70,592"
        Margin of Error,"±10,535"
    Families,
        Estimate,"75,417"
        Margin of Error,"±21,950"
    Married-couple families,
        Estimate,"93,036"
        Margin of Error,"±32,100"
    Nonfamily households,
        Estimate,"54,293"
        Margin of Error,"±12,381"
"Census Tract 1240, Los Angeles County, California",
    Households,
        Estimate,"86,881"
        Margin of Error,"±10,434"
    Families,
        Estimate,"105,347"
        Margin of Error,"±35,017"
    Married-couple families,
        Estimate,"105,035"
        Margin of Error,"±45,389"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1241.02, Los Angeles County, California",
    Households,
        Estimate,"50,064"
        Margin of Error,"±6,026"
    Families,
        Estimate,"45,125"
        Margin of Error,"±8,435"
    Married-couple families,
        Estimate,"52,308"
        Margin of Error,"±25,340"
    Nonfamily households,
        Estimate,"57,679"
        Margin of Error,"±15,284"
"Census Tract 1241.03, Los Angeles County, California",
    Households,
        Estimate,"43,787"
        Margin of Error,"±5,797"
    Families,
        Estimate,"44,100"
        Margin of Error,"±3,487"
    Married-couple families,
        Estimate,"46,797"
        Margin of Error,"±8,791"
    Nonfamily households,
        Estimate,"26,625"
        Margin of Error,"±18,195"
"Census Tract 1241.04, Los Angeles County, California",
    Households,
        Estimate,"43,816"
        Margin of Error,"±9,194"
    Families,
        Estimate,"51,250"
        Margin of Error,"±10,697"
    Married-couple families,
        Estimate,"56,250"
        Margin of Error,"±19,340"
    Nonfamily households,
        Estimate,"32,981"
        Margin of Error,"±6,154"
"Census Tract 1241.05, Los Angeles County, California",
    Households,
        Estimate,"45,764"
        Margin of Error,"±6,439"
    Families,
        Estimate,"54,432"
        Margin of Error,"±13,831"
    Married-couple families,
        Estimate,"59,313"
        Margin of Error,"±15,499"
    Nonfamily households,
        Estimate,"43,063"
        Margin of Error,"±5,661"
"Census Tract 1242.01, Los Angeles County, California",
    Households,
        Estimate,"64,364"
        Margin of Error,"±9,242"
    Families,
        Estimate,"65,204"
        Margin of Error,"±14,494"
    Married-couple families,
        Estimate,"84,844"
        Margin of Error,"±35,243"
    Nonfamily households,
        Estimate,"46,445"
        Margin of Error,"±20,115"
"Census Tract 1242.03, Los Angeles County, California",
    Households,
        Estimate,"52,561"
        Margin of Error,"±9,622"
    Families,
        Estimate,"56,250"
        Margin of Error,"±4,141"
    Married-couple families,
        Estimate,"57,632"
        Margin of Error,"±5,599"
    Nonfamily households,
        Estimate,"33,708"
        Margin of Error,"±6,160"
"Census Tract 1242.04, Los Angeles County, California",
    Households,
        Estimate,"43,385"
        Margin of Error,"±5,936"
    Families,
        Estimate,"38,633"
        Margin of Error,"±8,732"
    Married-couple families,
        Estimate,"42,988"
        Margin of Error,"±10,358"
    Nonfamily households,
        Estimate,"47,679"
        Margin of Error,"±15,807"
"Census Tract 1243, Los Angeles County, California",
    Households,
        Estimate,"42,826"
        Margin of Error,"±11,760"
    Families,
        Estimate,"47,639"
        Margin of Error,"±13,590"
    Married-couple families,
        Estimate,"50,833"
        Margin of Error,"±20,122"
    Nonfamily households,
        Estimate,"38,424"
        Margin of Error,"±15,830"
"Census Tract 1244, Los Angeles County, California",
    Households,
        Estimate,"82,500"
        Margin of Error,"±17,867"
    Families,
        Estimate,"85,139"
        Margin of Error,"±35,302"
    Married-couple families,
        Estimate,"119,972"
        Margin of Error,"±17,972"
    Nonfamily households,
        Estimate,"73,945"
        Margin of Error,"±16,536"
"Census Tract 1245, Los Angeles County, California",
    Households,
        Estimate,"90,565"
        Margin of Error,"±24,905"
    Families,
        Estimate,"93,571"
        Margin of Error,"±13,851"
    Married-couple families,
        Estimate,"94,325"
        Margin of Error,"±27,652"
    Nonfamily households,
        Estimate,"70,625"
        Margin of Error,"±39,998"
"Census Tract 1246, Los Angeles County, California",
    Households,
        Estimate,"64,712"
        Margin of Error,"±10,227"
    Families,
        Estimate,"108,750"
        Margin of Error,"±25,160"
    Married-couple families,
        Estimate,"110,357"
        Margin of Error,"±35,281"
    Nonfamily households,
        Estimate,"48,194"
        Margin of Error,"±22,994"
"Census Tract 1247, Los Angeles County, California",
    Households,
        Estimate,"89,674"
        Margin of Error,"±29,364"
    Families,
        Estimate,"152,619"
        Margin of Error,"±42,717"
    Married-couple families,
        Estimate,"164,766"
        Margin of Error,"±24,587"
    Nonfamily households,
        Estimate,"60,625"
        Margin of Error,"±28,408"
"Census Tract 1249.02, Los Angeles County, California",
    Households,
        Estimate,"31,852"
        Margin of Error,"±7,760"
    Families,
        Estimate,"41,912"
        Margin of Error,"±19,568"
    Married-couple families,
        Estimate,"62,656"
        Margin of Error,"±50,388"
    Nonfamily households,
        Estimate,"26,901"
        Margin of Error,"±10,796"
"Census Tract 1249.03, Los Angeles County, California",
    Households,
        Estimate,"61,429"
        Margin of Error,"±8,148"
    Families,
        Estimate,"80,417"
        Margin of Error,"±31,988"
    Married-couple families,
        Estimate,"89,073"
        Margin of Error,"±15,114"
    Nonfamily households,
        Estimate,"46,311"
        Margin of Error,"±13,145"
"Census Tract 1251, Los Angeles County, California",
    Households,
        Estimate,"76,595"
        Margin of Error,"±6,558"
    Families,
        Estimate,"81,927"
        Margin of Error,"±11,187"
    Married-couple families,
        Estimate,"84,750"
        Margin of Error,"±28,741"
    Nonfamily households,
        Estimate,"72,067"
        Margin of Error,"±16,907"
"Census Tract 1252, Los Angeles County, California",
    Households,
        Estimate,"75,260"
        Margin of Error,"±13,204"
    Families,
        Estimate,"98,929"
        Margin of Error,"±23,083"
    Married-couple families,
        Estimate,"120,357"
        Margin of Error,"±27,326"
    Nonfamily households,
        Estimate,"46,528"
        Margin of Error,"±15,704"
"Census Tract 1253.10, Los Angeles County, California",
    Households,
        Estimate,"48,958"
        Margin of Error,"±11,910"
    Families,
        Estimate,"71,500"
        Margin of Error,"±24,843"
    Married-couple families,
        Estimate,"73,462"
        Margin of Error,"±39,808"
    Nonfamily households,
        Estimate,"36,188"
        Margin of Error,"±8,290"
"Census Tract 1253.20, Los Angeles County, California",
    Households,
        Estimate,"39,977"
        Margin of Error,"±9,416"
    Families,
        Estimate,"54,559"
        Margin of Error,"±14,943"
    Married-couple families,
        Estimate,"71,645"
        Margin of Error,"±41,057"
    Nonfamily households,
        Estimate,"32,679"
        Margin of Error,"±12,930"
"Census Tract 1254.01, Los Angeles County, California",
    Households,
        Estimate,"62,934"
        Margin of Error,"±8,571"
    Families,
        Estimate,"75,307"
        Margin of Error,"±25,262"
    Married-couple families,
        Estimate,"100,159"
        Margin of Error,"±41,672"
    Nonfamily households,
        Estimate,"58,229"
        Margin of Error,"±9,878"
"Census Tract 1254.02, Los Angeles County, California",
    Households,
        Estimate,"80,299"
        Margin of Error,"±16,094"
    Families,
        Estimate,"98,393"
        Margin of Error,"±27,373"
    Married-couple families,
        Estimate,"116,563"
        Margin of Error,"±18,049"
    Nonfamily households,
        Estimate,"64,125"
        Margin of Error,"±14,666"
"Census Tract 1255.01, Los Angeles County, California",
    Households,
        Estimate,"46,767"
        Margin of Error,"±13,339"
    Families,
        Estimate,"75,298"
        Margin of Error,"±26,474"
    Married-couple families,
        Estimate,"95,982"
        Margin of Error,"±27,637"
    Nonfamily households,
        Estimate,"44,505"
        Margin of Error,"±2,938"
"Census Tract 1255.02, Los Angeles County, California",
    Households,
        Estimate,"68,700"
        Margin of Error,"±6,841"
    Families,
        Estimate,"88,000"
        Margin of Error,"±11,138"
    Married-couple families,
        Estimate,"104,423"
        Margin of Error,"±30,892"
    Nonfamily households,
        Estimate,"60,078"
        Margin of Error,"±14,023"
"Census Tract 1256, Los Angeles County, California",
    Households,
        Estimate,"82,401"
        Margin of Error,"±21,919"
    Families,
        Estimate,"138,977"
        Margin of Error,"±27,033"
    Married-couple families,
        Estimate,"184,063"
        Margin of Error,"±74,904"
    Nonfamily households,
        Estimate,"58,068"
        Margin of Error,"±14,573"
"Census Tract 1271.02, Los Angeles County, California",
    Households,
        Estimate,"44,955"
        Margin of Error,"±11,645"
    Families,
        Estimate,"45,082"
        Margin of Error,"±6,368"
    Married-couple families,
        Estimate,"61,552"
        Margin of Error,"±28,759"
    Nonfamily households,
        Estimate,"34,286"
        Margin of Error,"±8,840"
"Census Tract 1271.03, Los Angeles County, California",
    Households,
        Estimate,"52,096"
        Margin of Error,"±8,328"
    Families,
        Estimate,"54,769"
        Margin of Error,"±8,948"
    Married-couple families,
        Estimate,"57,716"
        Margin of Error,"±11,016"
    Nonfamily households,
        Estimate,"44,107"
        Margin of Error,"±11,881"
"Census Tract 1271.04, Los Angeles County, California",
    Households,
        Estimate,"39,067"
        Margin of Error,"±7,040"
    Families,
        Estimate,"39,193"
        Margin of Error,"±8,596"
    Married-couple families,
        Estimate,"54,712"
        Margin of Error,"±22,390"
    Nonfamily households,
        Estimate,"38,843"
        Margin of Error,"±22,068"
"Census Tract 1272.10, Los Angeles County, California",
    Households,
        Estimate,"55,997"
        Margin of Error,"±4,349"
    Families,
        Estimate,"62,226"
        Margin of Error,"±7,200"
    Married-couple families,
        Estimate,"62,868"
        Margin of Error,"±6,843"
    Nonfamily households,
        Estimate,"36,532"
        Margin of Error,"±8,869"
"Census Tract 1272.20, Los Angeles County, California",
    Households,
        Estimate,"39,645"
        Margin of Error,"±4,408"
    Families,
        Estimate,"39,628"
        Margin of Error,"±5,456"
    Married-couple families,
        Estimate,"43,523"
        Margin of Error,"±17,656"
    Nonfamily households,
        Estimate,"26,420"
        Margin of Error,"±13,935"
"Census Tract 1273, Los Angeles County, California",
    Households,
        Estimate,"49,375"
        Margin of Error,"±14,607"
    Families,
        Estimate,"70,870"
        Margin of Error,"±15,688"
    Married-couple families,
        Estimate,"79,784"
        Margin of Error,"±13,159"
    Nonfamily households,
        Estimate,"32,813"
        Margin of Error,"±8,881"
"Census Tract 1274, Los Angeles County, California",
    Households,
        Estimate,"53,695"
        Margin of Error,"±5,823"
    Families,
        Estimate,"57,171"
        Margin of Error,"±15,024"
    Married-couple families,
        Estimate,"71,579"
        Margin of Error,"±19,687"
    Nonfamily households,
        Estimate,"42,000"
        Margin of Error,"±8,587"
"Census Tract 1275.20, Los Angeles County, California",
    Households,
        Estimate,"35,728"
        Margin of Error,"±5,435"
    Families,
        Estimate,"37,198"
        Margin of Error,"±10,670"
    Married-couple families,
        Estimate,"46,250"
        Margin of Error,"±8,921"
    Nonfamily households,
        Estimate,"18,734"
        Margin of Error,"±5,177"
"Census Tract 1276.03, Los Angeles County, California",
    Households,
        Estimate,"42,292"
        Margin of Error,"±5,968"
    Families,
        Estimate,"40,917"
        Margin of Error,"±7,118"
    Married-couple families,
        Estimate,"47,339"
        Margin of Error,"±21,818"
    Nonfamily households,
        Estimate,"43,793"
        Margin of Error,"±10,010"
"Census Tract 1276.04, Los Angeles County, California",
    Households,
        Estimate,"44,798"
        Margin of Error,"±6,311"
    Families,
        Estimate,"49,149"
        Margin of Error,"±13,530"
    Married-couple families,
        Estimate,"65,357"
        Margin of Error,"±37,166"
    Nonfamily households,
        Estimate,"20,449"
        Margin of Error,"±18,448"
"Census Tract 1276.05, Los Angeles County, California",
    Households,
        Estimate,"46,071"
        Margin of Error,"±5,210"
    Families,
        Estimate,"39,071"
        Margin of Error,"±10,293"
    Married-couple families,
        Estimate,"51,250"
        Margin of Error,"±14,474"
    Nonfamily households,
        Estimate,"39,286"
        Margin of Error,"±25,476"
"Census Tract 1276.06, Los Angeles County, California",
    Households,
        Estimate,"60,904"
        Margin of Error,"±8,499"
    Families,
        Estimate,"62,569"
        Margin of Error,"±8,069"
    Married-couple families,
        Estimate,"74,688"
        Margin of Error,"±20,113"
    Nonfamily households,
        Estimate,"53,125"
        Margin of Error,"±24,638"
"Census Tract 1277.11, Los Angeles County, California",
    Households,
        Estimate,"64,018"
        Margin of Error,"±12,330"
    Families,
        Estimate,"65,147"
        Margin of Error,"±10,500"
    Married-couple families,
        Estimate,"75,208"
        Margin of Error,"±24,742"
    Nonfamily households,
        Estimate,"50,208"
        Margin of Error,"±26,973"
"Census Tract 1277.12, Los Angeles County, California",
    Households,
        Estimate,"42,662"
        Margin of Error,"±4,862"
    Families,
        Estimate,"51,976"
        Margin of Error,"±5,329"
    Married-couple families,
        Estimate,"52,177"
        Margin of Error,"±8,938"
    Nonfamily households,
        Estimate,"35,543"
        Margin of Error,"±11,746"
"Census Tract 1278.03, Los Angeles County, California",
    Households,
        Estimate,"43,071"
        Margin of Error,"±8,872"
    Families,
        Estimate,"54,597"
        Margin of Error,"±7,052"
    Married-couple families,
        Estimate,"50,109"
        Margin of Error,"±19,099"
    Nonfamily households,
        Estimate,"32,238"
        Margin of Error,"±4,937"
"Census Tract 1278.04, Los Angeles County, California",
    Households,
        Estimate,"53,792"
        Margin of Error,"±7,264"
    Families,
        Estimate,"53,333"
        Margin of Error,"±8,126"
    Married-couple families,
        Estimate,"66,406"
        Margin of Error,"±24,361"
    Nonfamily households,
        Estimate,"50,729"
        Margin of Error,"±12,110"
"Census Tract 1278.05, Los Angeles County, California",
    Households,
        Estimate,"49,457"
        Margin of Error,"±8,334"
    Families,
        Estimate,"52,599"
        Margin of Error,"±6,526"
    Married-couple families,
        Estimate,"58,387"
        Margin of Error,"±7,889"
    Nonfamily households,
        Estimate,"28,487"
        Margin of Error,"±9,695"
"Census Tract 1278.06, Los Angeles County, California",
    Households,
        Estimate,"42,946"
        Margin of Error,"±15,830"
    Families,
        Estimate,"38,409"
        Margin of Error,"±17,134"
    Married-couple families,
        Estimate,"39,432"
        Margin of Error,"±27,845"
    Nonfamily households,
        Estimate,"34,464"
        Margin of Error,"±10,346"
"Census Tract 1279.10, Los Angeles County, California",
    Households,
        Estimate,"46,190"
        Margin of Error,"±2,609"
    Families,
        Estimate,"46,303"
        Margin of Error,"±3,460"
    Married-couple families,
        Estimate,"54,231"
        Margin of Error,"±19,522"
    Nonfamily households,
        Estimate,"32,824"
        Margin of Error,"±30,343"
"Census Tract 1279.20, Los Angeles County, California",
    Households,
        Estimate,"56,458"
        Margin of Error,"±16,822"
    Families,
        Estimate,"56,208"
        Margin of Error,"±14,720"
    Married-couple families,
        Estimate,"62,308"
        Margin of Error,"±17,297"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1281.01, Los Angeles County, California",
    Households,
        Estimate,"56,023"
        Margin of Error,"±10,032"
    Families,
        Estimate,"57,804"
        Margin of Error,"±9,198"
    Married-couple families,
        Estimate,"59,831"
        Margin of Error,"±8,036"
    Nonfamily households,
        Estimate,"41,429"
        Margin of Error,"±27,765"
"Census Tract 1281.02, Los Angeles County, California",
    Households,
        Estimate,"46,699"
        Margin of Error,"±8,772"
    Families,
        Estimate,"47,841"
        Margin of Error,"±10,281"
    Married-couple families,
        Estimate,"58,167"
        Margin of Error,"±8,019"
    Nonfamily households,
        Estimate,"40,050"
        Margin of Error,"±7,706"
"Census Tract 1282.10, Los Angeles County, California",
    Households,
        Estimate,"31,168"
        Margin of Error,"±6,619"
    Families,
        Estimate,"27,799"
        Margin of Error,"±5,174"
    Married-couple families,
        Estimate,"30,172"
        Margin of Error,"±8,454"
    Nonfamily households,
        Estimate,"32,097"
        Margin of Error,"±14,412"
"Census Tract 1282.20, Los Angeles County, California",
    Households,
        Estimate,"41,570"
        Margin of Error,"±5,383"
    Families,
        Estimate,"43,611"
        Margin of Error,"±12,377"
    Married-couple families,
        Estimate,"43,438"
        Margin of Error,"±17,275"
    Nonfamily households,
        Estimate,"31,818"
        Margin of Error,"±11,561"
"Census Tract 1283.02, Los Angeles County, California",
    Households,
        Estimate,"46,413"
        Margin of Error,"±7,213"
    Families,
        Estimate,"44,725"
        Margin of Error,"±6,559"
    Married-couple families,
        Estimate,"42,716"
        Margin of Error,"±11,086"
    Nonfamily households,
        Estimate,"45,893"
        Margin of Error,"±25,801"
"Census Tract 1283.03, Los Angeles County, California",
    Households,
        Estimate,"39,488"
        Margin of Error,"±4,135"
    Families,
        Estimate,"34,213"
        Margin of Error,"±10,027"
    Married-couple families,
        Estimate,"31,761"
        Margin of Error,"±21,379"
    Nonfamily households,
        Estimate,"41,799"
        Margin of Error,"±5,977"
"Census Tract 1284, Los Angeles County, California",
    Households,
        Estimate,"72,500"
        Margin of Error,"±17,474"
    Families,
        Estimate,"81,850"
        Margin of Error,"±15,741"
    Married-couple families,
        Estimate,"122,740"
        Margin of Error,"±36,585"
    Nonfamily households,
        Estimate,"52,723"
        Margin of Error,"±9,279"
"Census Tract 1285, Los Angeles County, California",
    Households,
        Estimate,"74,375"
        Margin of Error,"±12,563"
    Families,
        Estimate,"102,571"
        Margin of Error,"±22,813"
    Married-couple families,
        Estimate,"115,000"
        Margin of Error,"±23,222"
    Nonfamily households,
        Estimate,"56,591"
        Margin of Error,"±9,250"
"Census Tract 1286.01, Los Angeles County, California",
    Households,
        Estimate,"48,173"
        Margin of Error,"±14,670"
    Families,
        Estimate,"66,053"
        Margin of Error,"±19,105"
    Married-couple families,
        Estimate,"82,986"
        Margin of Error,"±27,114"
    Nonfamily households,
        Estimate,"39,286"
        Margin of Error,"±11,122"
"Census Tract 1286.02, Los Angeles County, California",
    Households,
        Estimate,"85,284"
        Margin of Error,"±17,438"
    Families,
        Estimate,"100,694"
        Margin of Error,"±32,682"
    Married-couple families,
        Estimate,"112,955"
        Margin of Error,"±43,874"
    Nonfamily households,
        Estimate,"49,583"
        Margin of Error,"±22,808"
"Census Tract 1287.02, Los Angeles County, California",
    Households,
        Estimate,"76,202"
        Margin of Error,"±6,313"
    Families,
        Estimate,"107,458"
        Margin of Error,"±18,527"
    Married-couple families,
        Estimate,"125,714"
        Margin of Error,"±38,485"
    Nonfamily households,
        Estimate,"62,867"
        Margin of Error,"±12,260"
"Census Tract 1288.01, Los Angeles County, California",
    Households,
        Estimate,"65,449"
        Margin of Error,"±11,844"
    Families,
        Estimate,"75,598"
        Margin of Error,"±10,227"
    Married-couple families,
        Estimate,"86,625"
        Margin of Error,"±19,109"
    Nonfamily households,
        Estimate,"43,432"
        Margin of Error,"±12,084"
"Census Tract 1288.02, Los Angeles County, California",
    Households,
        Estimate,"89,735"
        Margin of Error,"±8,886"
    Families,
        Estimate,"105,033"
        Margin of Error,"±21,762"
    Married-couple families,
        Estimate,"130,474"
        Margin of Error,"±22,637"
    Nonfamily households,
        Estimate,"80,364"
        Margin of Error,"±15,749"
"Census Tract 1289.10, Los Angeles County, California",
    Households,
        Estimate,"104,392"
        Margin of Error,"±13,274"
    Families,
        Estimate,"119,306"
        Margin of Error,"±39,318"
    Married-couple families,
        Estimate,"151,518"
        Margin of Error,"±23,202"
    Nonfamily households,
        Estimate,"56,311"
        Margin of Error,"±29,986"
"Census Tract 1310.10, Los Angeles County, California",
    Households,
        Estimate,"56,487"
        Margin of Error,"±6,178"
    Families,
        Estimate,"55,536"
        Margin of Error,"±6,544"
    Married-couple families,
        Estimate,"59,519"
        Margin of Error,"±9,355"
    Nonfamily households,
        Estimate,"46,250"
        Margin of Error,"±21,754"
"Census Tract 1310.20, Los Angeles County, California",
    Households,
        Estimate,"66,875"
        Margin of Error,"±9,761"
    Families,
        Estimate,"69,030"
        Margin of Error,"±6,603"
    Married-couple families,
        Estimate,"77,321"
        Margin of Error,"±13,536"
    Nonfamily households,
        Estimate,"32,386"
        Margin of Error,"±20,144"
"Census Tract 1311, Los Angeles County, California",
    Households,
