Label (Grouping),Median income (dollars)
        Margin of Error,"±5,783"
"Census Tract 1042.03, Los Angeles County, California",
    Households,
        Estimate,"49,609"
        Margin of Error,"±11,898"
    Families,
        Estimate,"48,516"
        Margin of Error,"±15,138"
    Married-couple families,
        Estimate,"57,107"
        Margin of Error,"±11,518"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1042.04, Los Angeles County, California",
    Households,
        Estimate,"59,000"
        Margin of Error,"±17,579"
    Families,
        Estimate,"53,636"
        Margin of Error,"±9,245"
    Married-couple families,
        Estimate,"80,435"
        Margin of Error,"±15,080"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1043.10, Los Angeles County, California",
    Households,
        Estimate,"74,940"
        Margin of Error,"±13,087"
    Families,
        Estimate,"75,000"
        Margin of Error,"±9,878"
    Married-couple families,
        Estimate,"81,779"
        Margin of Error,"±16,794"
    Nonfamily households,
        Estimate,"40,417"
        Margin of Error,"±14,746"
"Census Tract 1043.20, Los Angeles County, California",
    Households,
        Estimate,"56,021"
        Margin of Error,"±4,136"
    Families,
        Estimate,"62,750"
        Margin of Error,"±12,409"
    Married-couple families,
        Estimate,"64,771"
        Margin of Error,"±11,329"
    Nonfamily households,
        Estimate,"11,475"
        Margin of Error,"±1,144"
"Census Tract 1044.01, Los Angeles County, California",
    Households,
        Estimate,"69,000"
        Margin of Error,"±18,732"
    Families,
        Estimate,"70,114"
        Margin of Error,"±10,752"
    Married-couple families,
        Estimate,"75,517"
        Margin of Error,"±10,033"
    Nonfamily households,
        Estimate,"22,813"
        Margin of Error,"±16,106"
"Census Tract 1044.03, Los Angeles County, California",
    Households,
        Estimate,"60,804"
        Margin of Error,"±20,306"
    Families,
        Estimate,"62,337"
        Margin of Error,"±19,260"
    Married-couple families,
        Estimate,"60,163"
        Margin of Error,"±27,646"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1044.04, Los Angeles County, California",
    Households,
        Estimate,"56,974"
        Margin of Error,"±11,673"
    Families,
        Estimate,"55,375"
        Margin of Error,"±17,632"
    Married-couple families,
        Estimate,"58,380"
        Margin of Error,"±11,762"
    Nonfamily households,
        Estimate,"31,375"
        Margin of Error,"±27,570"
"Census Tract 1045, Los Angeles County, California",
    Households,
        Estimate,"64,229"
        Margin of Error,"±11,735"
    Families,
