"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California!!Estimate","Compton CCD, Los Angeles County, California!!Estimate","Downey-Norwalk CCD, Los Angeles County, California!!Estimate","East San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Inglewood CCD, Los Angeles County, California!!Estimate","Long Beach-Lakewood CCD, Los Angeles County, California!!Estimate","Los Angeles CCD, Los Angeles County, California!!Estimate","Newhall CCD, Los Angeles County, California!!Estimate","North Antelope Valley CCD, Los Angeles County, California!!Estimate","Palos Verdes CCD, Los Angeles County, California!!Estimate","Pasadena CCD, Los Angeles County, California!!Estimate","San Fernando Valley CCD, Los Angeles County, California!!Estimate","Santa Monica CCD, Los Angeles County, California!!Estimate","South Antelope Valley CCD, Los Angeles County, California!!Estimate","South Bay Cities CCD, Los Angeles County, California!!Estimate","South Gate-East Los Angeles CCD, Los Angeles County, California!!Estimate","Southwest San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Torrance CCD, Los Angeles County, California!!Estimate","Upper San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Whittier CCD, Los Angeles County, California!!Estimate"
"    Female:","12,670","69,525","86,460","200,318","82,993","133,082","576,702","55,805","35,532","17,345","62,600","412,482","25,099","40,055","32,516","87,200","69,158","30,965","67,887","68,634"
"        Car, truck, or van:","8,113","59,114","71,819","162,717","65,308","100,616","369,193","43,083","30,279","12,420","41,956","304,006","13,597","33,332","20,679","67,943","56,017","23,374","54,038","57,029"
"            Drove alone","7,474","50,033","60,719","139,121","55,123","88,893","320,417","37,824","26,519","11,269","38,524","266,166","12,645","28,464","19,420","54,511","47,276","21,325","46,157","49,959"
"            Carpooled:","639","9,081","11,100","23,596","10,185","11,723","48,776","5,259","3,760","1,151","3,432","37,840","952","4,868","1,259","13,432","8,741","2,049","7,881","7,070"
"                In 2-person carpool","454","6,831","8,115","16,738","7,234","9,248","37,779","3,558","2,817","914","2,608","28,684","786","3,306","971","10,166","6,549","1,525","5,828","4,506"
"                In 3-person carpool","53","986","1,828","3,993","2,051","1,478","7,650","845","634","188","408","5,711","96","889","195","2,336","1,377","487","1,319","1,363"
"                In 4-or-more-person carpool","132","1,264","1,157","2,865","900","997","3,347","856","309","49","416","3,445","70","673","93","930","815","37","734","1,201"
"        Public transportation (excluding taxicab):","15","2,406","2,454","4,533","3,891","5,075","49,586","1,094","462","227","2,229","14,446","529","517","150","6,174","2,339","307","1,796","1,205"
"            Bus","15","1,911","1,939","3,116","3,651","4,232","44,250","869","277","135","1,366","12,345","487","311","117","5,706","2,196","307","1,320","983"
"            Subway or elevated rail","0","335","232","435","176","465","3,948","61","0","65","455","772","29","56","11","318","117","0","236","52"
"            Long-distance train or commuter rail","0","42","129","771","20","160","460","119","157","27","81","367","0","131","0","32","7","0","133","108"
"            Light rail, streetcar or trolley (carro público in Puerto Rico)","0","118","121","201","44","205","854","0","0","0","327","165","13","19","22","118","19","0","107","28"
"            Ferryboat","0","0","33","10","0","13","74","45","28","0","0","797","0","0","0","0","0","0","0","34"
"        Bicycle","81","70","222","299","201","564","2,232","10","104","11","144","611","439","0","52","128","328","53","162","74"
"        Walked","432","877","851","3,740","1,500","3,484","26,390","425","488","792","1,636","8,354","1,285","540","941","2,977","1,115","383","1,077","1,030"
"        Taxicab, motorcycle, or other means","312","1,351","1,461","2,614","2,709","1,814","12,386","1,060","346","213","1,637","7,785","693","1,039","460","2,659","881","621","1,142","1,027"
"        Worked from home","3,717","5,707","9,653","26,415","9,384","21,529","116,915","10,133","3,853","3,682","14,998","77,280","8,556","4,627","10,234","7,319","8,478","6,227","9,672","8,269"
