tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037106520,28,1422,2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4895,23742776.98,19779.18918
06037106603,40,1184,3.4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4896,111070288.8,48129.24643
06037106604,77,1240,6.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4897,28109094.61,26134.1978
06037106641,43,742,5.8,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4898,12439769.27,18205.31843
06037106642,28,1152,2.4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4899,16922656.17,19793.7826
06037106643,56,1368,4.1,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4900,46652067.06,31847.06604
06037106645,0,1259,0,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4901,26946666.13,29643.97058
06037106646,63,951,6.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4902,16141372.48,23002.46204
06037106648,49,1085,4.5,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4903,8770048.66,12817.02777
06037106649,13,638,2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4904,11900113.87,19875.86876
06037107010,35,742,4.7,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4905,7378650.451,12969.89638
06037107020,33,1169,2.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4906,10674902.78,14598.59404
06037108101,16,765,2.1,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4907,12266855.57,14442.51737
06037108102,6,1141,0.5,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4908,23081371,18310.67394
06037108103,9,981,0.9,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4909,27776643.05,35922.72608
06037108104,15,559,2.7,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4910,9009471.142,14606.20621
06037108202,75,3002,2.5,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4911,64178248.46,35709.88314
06037108203,16,1148,1.4,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4912,14381515.49,16269.5127
06037108204,63,650,9.7,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4913,16049102.46,21734.98786
06037125404,98,1553,6.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,4914,2465982.475,8590.474625
06037109100,142,808,17.6,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4915,29181021.1,26282.80403
06037109200,58,1013,5.7,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4916,10956303.38,15922.32808
06037109300,37,927,4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4917,13116617.8,17334.50857
06037109400,9,1126,0.8,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4918,13685638.04,17525.93422
06037109500,23,1011,2.3,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4919,12907395.88,20454.36251
06037109601,17,1348,1.3,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4920,24327553.33,20047.86501
06037109603,24,1274,1.9,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4921,10751151.08,13424.2797
06037109604,34,885,3.8,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,4922,12653709.9,14351.5983
06037109700,51,1376,3.7,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4923,17187332.43,17925.40263
06037109800,93,1457,6.4,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4924,15020694.49,16573.98343
06037111100,28,949,3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4925,11389460.57,13559.38417
06037111201,29,1036,2.8,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4926,20422124.82,25160.05717
06037111202,137,1879,7.3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4927,20088990.96,20750.45952
06037111204,58,1831,3.2,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4928,35796838.01,25671.76214
06037111205,17,1294,1.3,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4929,12510977.32,14704.34641
06037111206,48,1425,3.4,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,4930,28254587.38,24017.99552
06037111302,150,1756,8.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4931,16688621.92,17841.32572
06037111303,8,1441,0.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4932,16839648.47,18128.37846
06037111304,75,1332,5.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4933,4698362.545,8760.475771
06037111401,41,679,6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4934,9088755.961,12350.69038
06037111402,448,2166,20.7,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,4935,10445291.08,13232.48319
06037113101,44,1152,3.8,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4936,24470864.6,21320.4416
06037113102,19,954,2,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4937,39188167.32,24707.08243
06037113211,10,1607,0.6,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4938,78523164.81,37624.86644
06037113212,28,945,3,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4939,10616259.82,14122.74479
06037113213,50,1712,2.9,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4940,13967351.9,16838.92016
06037113231,26,833,3.1,District 3,Unincorporated - West Chatsworth,SPA 2 - San Fernando,4941,44809082.17,42106.62003
06037113232,18,1500,1.2,District 3,Los Angeles - West Hills,SPA 2 - San Fernando,4942,22012355.67,23299.91358
06037113234,155,1599,9.7,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,4943,10966615.47,16773.9241
06037113235,16,646,2.5,District 3,Unincorporated - Lake Manor,SPA 2 - San Fernando,4944,14701757.33,28345.56872
06037113237,9,1595,0.6,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4945,51197742.85,36157.59535
06037113238,54,1451,3.7,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,4946,7593954.897,10850.40387
06037113239,204,896,22.8,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,4947,4738085.323,9738.977585
06037113301,133,1525,8.7,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4948,24238364.24,22493.92837
06037113303,149,1284,11.6,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4949,44020903.97,30964.71779
06037113322,103,1530,6.7,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4950,19184402.54,20113.50464
06037113323,19,1506,1.3,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4951,7772517.09,11011.51806
06037113324,20,989,2,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,4952,3492130.756,7928.509102
06037113423,6,878,0.7,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,4953,7649753.998,11075.11342
06037113424,103,1017,10.1,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4954,18738326.06,20657.64851
06037113425,80,1373,5.8,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,4955,3667047.218,7971.434526
06037113426,45,737,6.1,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,4956,20184714.21,21371.76088
06037113427,89,957,9.3,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,4957,2806211.801,9023.970781
06037113428,32,1083,3,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,4958,13673423.43,15162.19034
06037115101,138,1844,7.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4959,41812047.57,26388.35168
06037115103,0,5,0,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4960,16329320.55,22141.57499
