tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037188202,9,1251,0.7,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5277,8230132.954,11771.53901
06037188300,89,1379,6.5,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,5278,9856462.605,12658.97398
06037189101,153,1214,12.6,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5279,4253805.294,8256.535988
06037189102,72,1967,3.7,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5280,6905576.161,12037.64268
06037189201,365,1748,20.9,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5281,3506033.15,7950.823968
06037189202,44,1289,3.4,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5282,11036873.87,16286.49026
06037189300,99,1353,7.3,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,5283,20565714.22,24814.66324
06037189400,34,1548,2.2,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5284,15507607.53,23706.4366
06037189501,92,1474,6.2,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5285,3813790.654,8060.133875
06037189502,337,1311,25.7,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5286,2663667.326,6911.334448
06037189600,176,1988,8.9,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5287,11513193.68,18537.86658
06037189702,152,1268,12,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5288,15623394.37,21310.44228
06037189703,32,998,3.2,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5289,35757590.59,39992.79944
06037189704,0,686,0,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,5290,11045948.98,22924.24202
06037189801,176,1290,13.6,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5291,4463763.625,9921.861297
06037189802,125,1065,11.7,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5292,3406698.649,7860.661236
06037189903,149,1594,9.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5293,911068.4502,4147.043296
06037189904,189,1436,13.2,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5294,1717995.097,5282.078075
06037189905,108,1351,8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5295,2781471.508,6976.504928
06037189906,69,1379,5,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5296,2180620.14,5943.032652
06037189907,123,1404,8.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5297,1746419.551,5286.484129
06037190101,268,1197,22.4,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5298,2408287.255,6809.254856
06037190202,791,2266,34.9,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5299,2268330.934,6272.847416
06037190102,123,1351,9.1,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5300,4050079.622,8766.03717
06037190201,682,1415,48.2,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5301,2414905.833,6702.511792
06037205110,131,851,15.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5302,2956008.295,9068.867215
06037190302,197,1172,16.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5303,2672677.898,9399.590726
06037190303,805,1704,47.2,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5304,1758851.837,5299.096549
06037206020,3,262,1.1,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5305,9395603.394,11938.55636
06037190401,505,1639,30.8,District 1,Los Angeles - Thai Town,SPA 4 - Metro,5306,1794718.619,5352.38817
06037190402,267,1229,21.7,District 1,Los Angeles - Thai Town,SPA 4 - Metro,5307,1703419.563,5220.962615
06037190510,344,1595,21.6,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5308,3431162.772,7980.935922
06037190520,456,1531,29.8,District 1,Los Angeles - Thai Town,SPA 4 - Metro,5309,2623817.315,6611.946125
06037190701,301,835,36,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5310,4762913.411,9891.611917
06037190702,123,724,17,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5311,2152980.215,5909.328017
06037190801,434,1244,34.9,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5312,3489354.941,7925.329311
06037190802,261,1423,18.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5313,5239434.938,9249.698493
06037190901,330,1193,27.7,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5314,5276728.264,9290.815101
06037190902,366,1536,23.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5315,5241444.3,9257.052349
06037191000,498,2991,16.6,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5316,6889316.932,11150.2882
06037191110,339,1016,33.4,District 1,Los Angeles - Little Armenia,SPA 4 - Metro,5317,2935781.978,7507.322159
06037191120,292,1600,18.3,District 1,Los Angeles - Little Armenia,SPA 4 - Metro,5318,4086207.511,8373.028582
06037206303,485,629,77.1,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5319,4692073.156,10612.52856
06037191201,441,1680,26.3,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5320,6159856.799,9951.803389
06037191203,308,1038,29.7,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5321,2208647.539,5985.146278
06037207307,803,1161,69.2,District 1,Los Angeles - Downtown,SPA 4 - Metro,5322,527160.0469,2910.616691
06037191204,81,698,11.6,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5323,2164440.775,5918.994441
06037191301,275,953,28.9,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5324,2943320.985,8516.894451
06037191302,114,809,14.1,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5325,4550186.103,9354.956612
06037191410,411,1390,29.6,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5326,3351834.153,7438.615027
06037191420,139,1123,12.4,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5327,2445342.204,6614.972479
06037191500,231,1793,12.9,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,5328,6905191.907,10328.41683
06037191610,336,1371,24.5,District 3,Los Angeles - Melrose,SPA 4 - Metro,5329,4516467.598,9408.296297
06037191620,279,1003,27.8,District 3,Los Angeles - Melrose,SPA 4 - Metro,5330,2445220.929,7017.168055
06037191710,493,1187,41.5,District 3,Los Angeles - Melrose,SPA 4 - Metro,5331,7627194.529,13209.02715
06037191720,474,1339,35.4,District 3,Los Angeles - Melrose,SPA 4 - Metro,5332,2845306.476,6946.316352
06037191810,234,1226,19.1,District 3,Los Angeles - Melrose,SPA 4 - Metro,5333,4350630.715,9234.497787
06037191820,235,1810,13,District 3,Los Angeles - Melrose,SPA 4 - Metro,5334,4356997.034,9240.099245
06037207308,123,802,15.3,District 1,Los Angeles - Downtown,SPA 4 - Metro,5335,492573.751,2815.257443
06037191901,263,1976,13.3,District 3,Los Angeles - Melrose,SPA 4 - Metro,5336,8323634.666,11867.31917
06037191902,36,1485,2.4,District 3,Los Angeles - Melrose,SPA 4 - Metro,5337,7818740.748,11569.20775
06037192001,190,1015,18.7,District 3,Los Angeles - Melrose,SPA 4 - Metro,5338,5713216.985,11592.71507
06037192002,62,1326,4.7,District 3,Los Angeles - Melrose,SPA 4 - Metro,5339,9235858.898,12792.96101
06037192300,244,1369,17.8,District 3,Los Angeles - Melrose,SPA 4 - Metro,5340,9456509.244,12470.62227
06037192410,82,1780,4.6,District 3,Los Angeles - Melrose,SPA 4 - Metro,5341,7360628.904,10853.93426
06037192420,67,1338,5,District 3,Los Angeles - Melrose,SPA 4 - Metro,5342,3494301.186,7935.384087
06037192510,170,1251,13.6,District 3,Los Angeles - Melrose,SPA 4 - Metro,5343,3676220.52,8083.487154
06037192520,157,1570,10,District 3,Los Angeles - Melrose,SPA 4 - Metro,5344,3307689.511,7772.457267
06037192610,266,1420,18.7,District 3,Los Angeles - Melrose,SPA 4 - Metro,5345,4469637.643,9148.63121
06037192620,195,1146,17,District 3,Los Angeles - Melrose,SPA 4 - Metro,5346,2621282.093,7268.933306
06037192700,188,1205,15.6,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5347,5724862.038,9589.41664
06037194101,161,1753,9.2,District 3,Los Angeles - Hollywood Hills,SPA 4 - Metro,5348,27180830.03,31075.05626
06037194102,101,1372,7.4,District 3,Los Angeles - Hollywood Hills,SPA 4 - Metro,5349,37645454.39,34914.69752
06037194200,36,1590,2.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5350,28373047.38,25984.2625
06037194300,19,1387,1.4,District 3,Los Angeles - Hollywood,SPA 4 - Metro,5351,26227895.59,30785.97294
06037194401,117,1316,8.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,5352,5154787.685,9246.950612
06037194402,68,2097,3.2,District 3,Los Angeles - Melrose,SPA 4 - Metro,5353,6337662.805,14182.45849
06037194500,90,940,9.6,District 3,Los Angeles - Melrose,SPA 4 - Metro,5354,7266523.675,14479.90367
06037195100,125,2128,5.9,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5355,20453803.89,21319.03327
06037195201,74,1547,4.8,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5356,6368770.976,13708.09692
06037195202,39,1412,2.8,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5357,9353385.49,14469.56877
06037195300,169,1378,12.3,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5358,6250975.548,11070.14042
06037195400,262,2204,11.9,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5359,10992588.21,16204.9071
06037195500,126,2419,5.2,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5360,13164198.9,19218.2547
06037195600,166,1205,13.8,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5361,5712584.264,10997.16684
06037195710,209,1542,13.6,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5362,5192040.212,9745.730029
06037195720,121,824,14.7,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5363,3067002.278,8340.768198
06037195802,121,1029,11.8,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5364,4341880.869,9929.551367
06037195803,128,1063,12,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5365,4074198.948,9002.277082
06037195804,104,1122,9.3,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5366,3621379.552,7702.845186
06037195901,221,1114,19.8,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5367,3167895.595,7993.588992
06037195902,44,991,4.4,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5368,3659790.434,8148.34835
06037195903,53,889,6,District 1,Los Angeles - Silverlake,SPA 4 - Metro,5369,2560973.891,6617.766511
06037197200,154,1179,13.1,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,5370,8254417.317,14769.06805
06037197300,272,1778,15.3,District 1,Los Angeles - Echo Park,SPA 4 - Metro,5371,6852261.595,14683.68498
06037197410,45,1769,2.5,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,5372,14961791.12,17855.05973
06037197420,93,1574,5.9,District 1,Los Angeles - Echo Park,SPA 4 - Metro,5373,6662696.074,11589.35682
06037197500,228,1641,13.9,District 1,Los Angeles - Echo Park,SPA 4 - Metro,5374,6903041.98,10403.77306
06037197600,42,840,5,District 1,Los Angeles - Angelino Heights,SPA 4 - Metro,5375,4213783.379,10380.06474
06037197700,324,2044,15.9,District 1,Los Angeles - Elysian Park,SPA 4 - Metro,5376,7539991.258,13637.86331
06037199001,95,673,14.1,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5377,2823832.105,7991.60286
06037199002,103,993,10.4,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5378,14153143.55,20590.57379
06037199110,94,786,12,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5379,9922886.959,13487.68986
06037199120,207,1109,18.7,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5380,10366630.68,16430.64353
06037199201,265,1113,23.8,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5381,4272810.895,8743.52631
06037199202,188,920,20.4,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5382,10262323.06,17337.62623
06037199300,216,1324,16.3,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5383,27667373.48,30528.99057
06037199400,194,1476,13.1,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,5384,7705435.548,16525.89308
06037199700,133,1213,11,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5385,10410497.46,13808.46324
06037199801,115,889,12.9,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5386,3724106.854,9459.391827
06037199802,50,615,8.1,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5387,3296128.605,8868.744225
06037199900,224,852,26.3,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,5388,4782360.923,10141.72802
06037201110,53,773,6.9,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5389,10992458.06,15893.38364
06037201120,60,1244,4.8,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5390,8477293.326,13504.91777
06037201200,51,764,6.7,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5391,4612278.714,10208.95052
06037201301,111,1045,10.6,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5392,9414202.778,18595.38854
06037201302,57,1806,3.2,District 1,Los Angeles - Highland Park,SPA 4 - Metro,5393,10671943.71,14894.76655
06037201401,105,1265,8.3,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5394,14162701.11,15449.76247
06037201402,126,1508,8.4,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5395,20831565.22,18870.58277
06037201501,79,1506,5.2,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5396,9520485.641,14185.08924
06037201503,131,989,13.2,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5397,4712856.253,9121.14428
06037201504,43,610,7,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5398,3937450.052,9476.656464
06037201601,65,716,9.1,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5399,5989464.779,10928.04197
06037201602,61,771,7.9,District 1,Los Angeles - El Sereno,SPA 4 - Metro,5400,11481095.91,18567.40448
06037201700,43,1424,3,District 1,Los Angeles - University Hills,SPA 4 - Metro,5401,18289606.43,20636.56683
06037203100,146,1280,11.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5402,7129819.722,11829.9124
06037203200,128,1324,9.7,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5403,5493896.245,10209.55033
06037207400,59,734,8,District 1,Los Angeles - Downtown,SPA 4 - Metro,5404,9422939.104,15058.8006
06037203300,101,423,23.9,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5405,15937496.74,15581.48376
06037203500,240,970,24.7,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5406,17896885.27,18825.82275
06037203601,114,809,14.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5407,3595069.32,12438.14153
06037203602,79,573,13.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5408,2435445.706,6781.753097
06037203710,82,832,9.9,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5409,3036028.593,7623.779313
06037203720,147,1019,14.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5410,3456064.821,7965.718684
06037203800,248,1266,19.6,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5411,5236904.258,9426.913001
06037203900,87,715,12.2,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5412,4820099.333,12064.04431
06037204110,167,837,20,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5413,6496519.905,10204.59609
06037204120,123,701,17.5,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5414,2822350.298,6970.228706
06037204200,172,1008,17.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5415,3242329.508,7623.72919
06037204300,344,1335,25.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5416,6926376.474,10887.97958
06037204410,178,673,26.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5417,3196327.399,7592.69194
06037204420,183,864,21.2,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5418,3252575.081,7655.412427
06037204600,205,1137,18,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5419,6201551.645,12222.88796
06037204700,147,1241,11.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5420,10907423.23,13331.46153
06037204810,168,1357,12.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5421,8327932.845,11953.62
06037204820,59,530,11.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5422,3446622.072,8345.427607
06037204910,252,950,26.5,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5423,5538623.95,9616.40759
06037204920,108,679,15.9,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5424,9771951.948,12570.57535
06037205120,149,885,16.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,5425,15952710.96,19218.25358
06037206010,367,1474,24.9,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5426,15714297.73,20599.43119
06037206050,213,805,26.5,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5427,19183090.33,25485.7002
06037206051,76,796,9.5,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5428,40408764.94,29476.26196
06037206052,159,1787,8.9,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5429,9776925.704,13446.59477
06037206053,433,1156,37.5,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5430,6331758.787,10803.13034
06037206054,59,628,9.4,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5431,4502153.559,9300.340514
06037206201,312,1203,25.9,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,5432,2156821.986,6937.901771
06037206202,694,1225,56.7,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,5433,4114009.19,9646.074276
06037206301,853,1063,80.2,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5434,1467235.076,4941.872097
06037206302,518,631,82.1,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,5435,483653.2412,3603.263688
06037207101,292,1670,17.5,District 1,Los Angeles - Chinatown,SPA 4 - Metro,5436,3165333.106,7693.962372
06037207102,434,1406,30.9,District 1,Los Angeles - Chinatown,SPA 4 - Metro,5437,4502100.257,9892.578697
06037207103,289,903,32,District 1,Los Angeles - Chinatown,SPA 4 - Metro,5438,3388155.936,9522.763573
06037207303,718,1722,41.7,District 1,Los Angeles - Downtown,SPA 4 - Metro,5439,1888040.552,5575.259069
06037207304,1049,1673,62.7,District 1,Los Angeles - Downtown,SPA 4 - Metro,5440,541446.2529,3459.976863
06037207305,217,568,38.2,District 1,Los Angeles - Downtown,SPA 4 - Metro,5441,2182714.78,8262.43864
06037207306,617,1422,43.4,District 1,Los Angeles - Downtown,SPA 4 - Metro,5442,1736073.656,5646.000822
06037207501,182,1241,14.7,District 1,Los Angeles - Downtown,SPA 4 - Metro,5443,1460154.432,4739.840356
06037207502,1268,2385,53.2,District 1,Los Angeles - Downtown,SPA 4 - Metro,5444,4463490.012,9079.039955
06037208001,54,1132,4.8,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5445,6277025.371,11140.08552
06037207711,144,1337,10.8,District 1,Los Angeles - Downtown,SPA 4 - Metro,5446,7428549.182,14671.25667
06037207712,987,2730,36.2,District 1,Los Angeles - Downtown,SPA 4 - Metro,5447,4383784.372,9437.955472
06037207901,449,1793,25,District 1,Los Angeles - Downtown,SPA 4 - Metro,5448,2128884.62,6828.323144
06037207902,478,3928,12.2,District 1,Los Angeles - Downtown,SPA 4 - Metro,5449,7634284.114,11075.60027
06037208502,334,1464,22.8,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5450,2796254.319,6766.576918
06037208002,232,1262,18.4,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5451,4063649.021,8994.419852
06037208301,190,575,33,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5452,1059097.596,5122.536346
06037209104,412,967,42.6,District 1,Los Angeles - Westlake,SPA 4 - Metro,5453,735766.4385,3760.813998
06037208302,547,1787,30.6,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,5454,4716446.304,9773.07262
06037208401,471,1437,32.8,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5455,2469648.369,6288.091978
06037209105,521,1029,50.6,District 1,Los Angeles - Westlake,SPA 4 - Metro,5456,892285.9023,3984.962068
06037208402,208,840,24.8,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,5457,3704274.592,8618.234565
06037208501,87,850,10.2,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,5458,2614754.837,6561.528141
06037208610,218,1515,14.4,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,5459,3802019.996,8257.266395
06037208620,278,1536,18.1,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,5460,3490954.759,8191.681167
06037208710,342,2072,16.5,District 1,Los Angeles - Westlake,SPA 4 - Metro,5461,1824918.229,5646.281765
06037208720,519,1499,34.6,District 1,Los Angeles - Westlake,SPA 4 - Metro,5462,1753988.314,6905.126175
06037208801,661,1369,48.3,District 1,Los Angeles - Westlake,SPA 4 - Metro,5463,2902686.711,7792.473191
06037208802,517,1495,34.6,District 1,Los Angeles - Westlake,SPA 4 - Metro,5464,2279363.023,7692.527836
06037208902,387,688,56.3,District 1,Los Angeles - Westlake,SPA 4 - Metro,5465,1980055.598,5658.493038
06037208903,434,1090,39.8,District 1,Los Angeles - Westlake,SPA 4 - Metro,5466,1714545.078,7038.479644
06037208904,741,1373,54,District 1,Los Angeles - Westlake,SPA 4 - Metro,5467,1224138.453,4504.137119
06037209103,526,1112,47.3,District 1,Los Angeles - Westlake,SPA 4 - Metro,5468,1337574.158,4685.369347
06037209106,361,1194,30.2,District 1,Los Angeles - Westlake,SPA 4 - Metro,5469,2381529.056,6257.329915
06037209201,253,1831,13.8,District 1,Los Angeles - Westlake,SPA 4 - Metro,5470,1818530.864,5562.088306
06037209202,156,562,27.8,District 1,Los Angeles - Westlake,SPA 4 - Metro,5471,2667667.431,6511.253069
06037209300,911,2125,42.9,District 1,Los Angeles - Westlake,SPA 4 - Metro,5472,3296967.586,7931.18045
06037209401,757,1547,48.9,District 1,Los Angeles - Westlake,SPA 4 - Metro,5473,2323375.792,6370.637612
06037209510,164,966,17,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,5474,1963614.684,5807.605825
06037209402,752,1193,63,District 1,Los Angeles - Westlake,SPA 4 - Metro,5475,1466622.382,4849.886726
06037209403,873,1492,58.5,District 1,Los Angeles - Westlake,SPA 4 - Metro,5476,1487585.052,4882.443192
06037209520,438,929,47.1,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,5477,2499111.244,6466.563304
06037209810,205,743,27.6,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,5478,1660660.461,5390.00072
06037211202,343,896,38.3,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5479,1927075.493,5559.421455
06037209820,238,782,30.4,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,5480,1936268.193,5687.974114
06037210010,568,1266,44.9,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,5481,4448567.779,8896.547478
06037211000,18,2002,0.9,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,5482,28608477.82,25105.85213
06037211121,95,899,10.6,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5483,2315992.818,7544.02039
06037211122,325,1072,30.3,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5484,3930365.132,8273.446548
06037211123,133,891,14.9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5485,1850526.14,6797.212181
06037211124,482,2052,23.5,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5486,4228641.481,8167.548078
06037211201,136,1034,13.2,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5487,1501881.869,4915.684313
06037211310,351,1346,26.1,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5488,1549860.715,4995.205104
06037211320,594,1246,47.7,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5489,2004122.247,5671.305411
06037211804,204,1309,15.6,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5490,2001589.043,5672.182614
06037211410,144,1078,13.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5491,2915308.277,7500.754606
06037211420,320,1314,24.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5492,4101420.132,8393.562243
06037211500,117,1743,6.7,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,5493,9760679.48,13076.57339
06037211701,94,1128,8.3,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,5494,7007753.876,10536.05785
06037211703,415,2063,20.1,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5495,1986718.893,5648.97182
06037211704,376,1573,23.9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5496,1990668.861,5698.519763
06037211802,498,2074,24,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5497,3502571.777,7938.570623
06037211803,175,1512,11.6,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5498,1501763.785,4915.856574
06037211910,329,1869,17.6,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5499,1484978.667,4890.398949
06037211921,199,949,21,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5500,997424.3301,4152.132568
06037211922,322,1346,23.9,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5501,999743.7441,4155.338167
06037212101,369,1443,25.6,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5502,1999890.327,5670.097463
06037212102,336,1188,28.3,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,5503,1492508.618,4902.631746
06037222700,31,103,30.1,District 2,Los Angeles - Exposition Park,SPA 6 - South,5504,9012061.973,13506.62373
06037212202,393,1249,31.5,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5505,2225899.926,6481.887987
06037212203,614,1500,40.9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5506,1141073.354,4500.610378
06037212204,362,1271,28.5,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,5507,2300387.561,6142.686441
06037212303,524,1618,32.4,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5508,1675272.862,5219.253902
06037212304,390,731,53.4,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5509,2218468.734,6304.991861
06037212305,302,945,32,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5510,1168773.146,4355.764526
06037212306,249,1095,22.7,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5511,1742806.878,5316.960787
06037212410,376,1497,25.1,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5512,1687088.938,5550.262489
06037236206,245,1311,18.7,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,5513,2978346.147,9561.08838
06037212420,442,1163,38,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5514,1538332.868,4954.122473
06037212501,244,900,27.1,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5515,856375.3359,3804.123564
06037212502,432,1323,32.7,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5516,3069436.973,8256.676374
06037212610,362,1808,20,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5517,3837077.169,8373.506661
06037212620,412,1739,23.7,District 2,Los Angeles - Koreatown,SPA 4 - Metro,5518,3112104.208,7947.75922
