OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
2347,06037650401,1,1,4472,1.3,3321.3,District 4,SPA 8 - South Bay,City of Torrance,37763560.453125,32199.9669064673
2348,06037651302,1,1,6311,0.9,6820,District 4,SPA 8 - South Bay,City of Torrance,25779205.2197266,31462.7405256897
2349,06037573100,1,1,7165,0.4,16278.7,District 4,SPA 8 - South Bay,City of Long Beach,12839054.5390625,14981.5346389595
2350,06037540300,1,1,5267,0.6,8905.8,District 4,SPA 6 - South,City of Lynwood,16489696.4287109,21932.5039876912
2351,06037181300,1,1,3629,0.6,6532,District 1,SPA 4 - Metro,Los Angeles - Eagle Rock,15487827.0976563,21488.6059287587
2352,06037194200,1,1,3588,1,3569.8,District 3,SPA 4 - Metro,Los Angeles - Hollywood,28019872.2148438,29548.083770113
2353,06037183820,1,1,3464,0.1,29065.4,District 1,SPA 4 - Metro,Los Angeles - Highland Park,3322202.84667969,10487.5727045839
2354,06037910813,2,2,3535,31.9,111,District 5,SPA 1 - Antelope Valley,Unincorporated - Agua Dulce,888221338.055664,167257.099824749
2355,06037911001,3,3,4201,144.1,29.2,District 5,SPA 1 - Antelope Valley,Unincorporated - Llano,4026506710.79492,354211.05723896
2356,06037920322,2,2,2895,0.4,7175.9,District 5,SPA 2 - San Fernando,City of Santa Clarita,11246046.4140625,15179.518143697
2357,06037481101,1,1,3814,0.3,11191.5,District 1,SPA 3 - San Gabriel,City of San Gabriel,9500450.56542969,13511.8131500008
2358,06037106603,1,1,2979,5.9,504.4,District 3,SPA 2 - San Fernando,Los Angeles - Granada Hills,164742469.791992,61705.6366418082
2359,06037461700,1,1,1385,0.8,1641.2,District 5,SPA 3 - San Gabriel,City of Pasadena,23766381.9130859,27778.0984282987
2360,06037181000,1,1,6144,1.6,3874.5,District 1,SPA 4 - Metro,Los Angeles - Eagle Rock,44534157.3085938,37817.4653304432
2361,06037408627,1,1,3079,1.2,2490.7,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,34464550.6806641,32304.0207343392
2362,06037408212,1,1,4485,1.1,4126.1,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,30689587.2470703,22683.8183955978
2363,06037408301,1,1,5427,0.8,7057.9,District 1,SPA 3 - San Gabriel,Unincorporated - Avocado Heights,22445685.5214844,22581.0978585089
2364,06037551102,1,1,5503,0.6,8682.7,District 4,SPA 7 - East,City of Downey,18139363.8300781,20632.1495386117
2365,06037460800,1,1,3248,2.6,1256.3,District 5,SPA 3 - San Gabriel,City of Pasadena,72582825.3476563,42249.7434494344
2366,06037106510,1,1,5108,2.2,2311.3,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,61533855.3310547,37123.4556997574
2367,06037106641,1,1,2317,0.4,5284.9,District 3,SPA 2 - San Fernando,Los Angeles - Granada Hills,12221119.8564453,19091.7847071132
2368,06037403304,1,1,5178,1.4,3679.6,District 1,SPA 3 - San Gabriel,City of Diamond Bar,39262104.1767578,28219.7383976483
2369,06037404503,1,1,2977,0.3,11739.7,District 1,SPA 3 - San Gabriel,City of Azusa,7069241.48046875,10733.0288484757
2370,06037403305,1,1,2100,0.6,3671,District 1,SPA 3 - San Gabriel,City of Diamond Bar,15948004.9179688,16251.1075623634
2371,06037404803,1,1,1741,0.2,9551.2,District 1,SPA 3 - San Gabriel,City of Baldwin Park,5254537.31933594,14235.1593702483
2372,06037408628,1,1,5103,1,5371.4,District 1,SPA 3 - San Gabriel,Unincorporated - Hacienda Heights,26485821.3789063,25996.8754934217
2373,06037404302,1,1,2498,0.2,10507,District 1,SPA 3 - San Gabriel,City of Azusa,6627701.89257813,10366.200522386
2374,06037910807,2,2,5489,2.1,2579.9,District 5,SPA 2 - San Fernando,City of Santa Clarita,59306318.7363281,38456.9864610387
2375,06037901210,2,2,1591,8.7,181.9,District 5,SPA 1 - Antelope Valley,Unincorporated - Elizabeth Lake,248389289.092773,100370.437884826
2376,06037190401,1,1,3135,0.1,48641.1,District 1,SPA 4 - Metro,Los Angeles - Thai Town,1796752.67578125,5352.448943439
2377,06037127804,1,1,3933,0.2,15962.2,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,6868380.57226563,10483.5686089957
2378,06037123206,1,1,2945,0.2,12652.4,District 3,SPA 2 - San Fernando,Los Angeles - North Hollywood,6488594.390625,10269.8071475177
2379,06037135203,1,1,7055,1.7,4059.2,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,48449867.5322266,33415.4294678953
2380,06037910707,1,1,4329,2.6,1685.4,District 5,SPA 1 - Antelope Valley,City of Palmdale,72311493.2158203,35064.6114896859
2381,06037910501,1,1,5339,0.6,9235.8,District 5,SPA 1 - Antelope Valley,City of Palmdale,16107941.2685547,16720.8904726665
2382,06037702400,1,1,4541,0.8,5932.7,District 2,SPA 5 - West,City of Culver City,21512362.5146484,24246.6351474615
2383,06037189300,1,1,3077,0.7,4194.5,District 5,SPA 4 - Metro,Los Angeles - Los Feliz,20450343.3603516,25805.7445047327
2384,06037573201,1,1,4930,0.2,21220,District 4,SPA 8 - South Bay,City of Long Beach,6477674.95703125,10362.409286412
2385,06037920031,2,2,5301,2.5,2158.5,District 5,SPA 2 - San Fernando,City of Santa Clarita,67615086.7431641,48558.277960317
2386,06037701601,1,1,4165,0.5,8773.9,District 3,SPA 5 - West,City of Santa Monica,13266407.3447266,16352.95580774
2387,06037237900,1,1,3621,0.4,9571.9,District 2,SPA 6 - South,Los Angeles - Manchester Square,10546505.3662109,13264.74528853
2388,06037702803,1,1,2963,0.3,9059.2,District 2,SPA 5 - West,City of Culver City,9120667.41699219,27442.5676544632
2389,06037703100,1,1,5446,1,5298.3,District 2,SPA 6 - South,Unincorporated - View Park/Windsor Hills,28677375.8691406,26781.1612036372
2390,06037910403,1,1,2235,0.5,4609.1,District 5,SPA 1 - Antelope Valley,City of Palmdale,13516370.3789063,16063.5711178995
2391,06037294520,1,1,3564,0.2,19068.7,District 4,SPA 8 - South Bay,Los Angeles - Wilmington,5211211.27441406,9527.66446368581
2392,06037500100,1,1,3540,3.8,924.3,District 4,SPA 7 - East,City of La Habra Heights,106840359.546875,51450.5329819345
2393,06037920106,2,2,3110,17.8,174.6,District 5,SPA 2 - San Fernando,Unincorporated - Val Verde,503508144.959961,106241.307695792
2394,06037221120,1,1,3373,0.1,27514.7,District 1,SPA 4 - Metro,Los Angeles - Pico-Union,3417542.64550781,7524.85175928441
2395,06037573202,1,1,6230,0.3,24860.8,District 4,SPA 8 - South Bay,City of Long Beach,6987055.93164063,10572.6479394818
2396,06037599100,2,2,527,130.3,4,District 4,SPA 8 - South Bay,Unincorporated - Santa Catalina Island,15464670576.0723,778154.51862676
2397,06037700400,1,1,5237,0.5,10307.4,District 3,SPA 4 - Metro,City of West Hollywood,14164288.3222656,21301.4441440844
2398,06037920033,2,2,515,1.3,387.9,District 5,SPA 2 - San Fernando,Unincorporated - Canyon Country,37029251.9589844,29355.0152130473
2399,06037405201,1,1,5205,0.5,9954.5,District 1,SPA 3 - San Gabriel,City of Baldwin Park,14596825.8496094,17914.5189244707
2400,06037432000,1,1,8182,0.9,9465.9,District 5,SPA 3 - San Gabriel,City of Temple City,24093982.9355469,24941.0081700694
2401,06037432102,1,1,5633,0.7,7772.1,District 5,SPA 3 - San Gabriel,City of Temple City,20204900.0888672,18682.7195699715
2402,06037189902,1,1,4971,0.1,35271.2,District 3,SPA 4 - Metro,Los Angeles - Hollywood,3928962.69921875,8586.31251258523
2403,06037432201,1,1,4342,0.4,9763.1,District 1,SPA 3 - San Gabriel,City of Rosemead,12398188.6748047,15512.6366846864
2404,06037432202,1,1,4252,0.5,7966.8,District 1,SPA 3 - San Gabriel,City of Rosemead,14890686.2519531,20130.11880398
2405,06037460900,1,1,6998,0.9,7449.2,District 5,SPA 3 - San Gabriel,City of Pasadena,26407337.6328125,25260.5885017345
2406,06037461000,1,1,6243,0.7,8822.5,District 5,SPA 3 - San Gabriel,Unincorporated - Altadena,19678736.2871094,25428.8286513818
2407,06037189500,1,1,4452,0.2,19470.9,District 5,SPA 4 - Metro,Los Angeles - Hollywood Hills,6374694.21777344,13013.3430690363
2408,06037211922,1,1,3389,0,94490.1,District 2,SPA 4 - Metro,Los Angeles - Little Bangladesh,999882.185546875,4155.33850207398
2409,06037400402,1,1,4125,1.7,2434.2,District 5,SPA 3 - San Gabriel,City of Glendora,47208787.5898438,40491.7019810589
2410,06037403316,1,1,6783,1.1,6005.2,District 1,SPA 3 - San Gabriel,City of Diamond Bar,31546212.5371094,28148.0830493702
2411,06037403318,1,1,6243,1.3,4800.1,District 1,SPA 3 - San Gabriel,City of Pomona,36258882.6494141,30428.6135633422
2412,06037403320,1,1,5573,1.5,3682.5,District 1,SPA 3 - San Gabriel,City of Diamond Bar,42191394.1005859,29228.589688248
2413,06037554511,1,1,4029,0.9,4479.3,District 4,SPA 7 - East,City of Cerritos,25458078.8691406,19917.5700284448
2414,06037432500,1,1,8210,1,8142,District 1,SPA 3 - San Gabriel,City of El Monte,30310905.3291016,25644.3299332074
2415,06037432601,1,1,6564,0.5,12101.2,District 1,SPA 3 - San Gabriel,City of El Monte,15121523.0292969,17344.5355930394
2416,06037104204,1,1,3375,1,3282.4,District 5,SPA 2 - San Fernando,Los Angeles - Lakeview Terrace,28718003.3515625,30293.128395535
2417,06037101300,1,1,4199,1,4214.6,District 5,SPA 2 - San Fernando,Los Angeles - Tujunga,27781690.4521484,29387.006000163
2418,06037137302,1,1,4338,0.9,4591.7,District 3,SPA 2 - San Fernando,Los Angeles - Woodland Hills,26336488.2773438,25068.0516352091
2419,06037213320,1,1,2481,0.1,20632.6,District 2,SPA 4 - Metro,Los Angeles - Koreatown,3352280.59375,7850.5878825061
2420,06037127920,1,1,4100,0.3,16369.2,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,6982234.68261719,10569.2063717808
2421,06037930401,1,1,2471,0.5,4616.3,,,,,
2422,06037930301,2,2,886,397.3,2.2,District 5,SPA 3 - San Gabriel,Unincorporated - Angeles National Forest,11114156427.4824,631251.587666575
2423,06037920314,2,2,2909,4.4,663.3,District 5,SPA 2 - San Fernando,City of Santa Clarita,123117457.321289,53031.4490080009
2424,06037930200,2,2,546,117.6,4.6,District 5,SPA 3 - San Gabriel,Unincorporated - Angeles National Forest,3285317854.05469,459783.187928735
2425,06037504102,1,1,22,2.5,9,District 4,SPA 7 - East,City of Santa Fe Springs,69535688.8505859,61340.7177646878
2426,06037980008,1,1,145,1.3,111.5,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,36264531.0146484,33831.2073943162
2427,06037262604,1,1,6092,2.2,2781.3,District 3,SPA 5 - West,Los Angeles - Pacific Palisades,64647106.3447266,54533.465011122
2428,06037183702,1,1,2805,0.3,8416.3,District 1,SPA 4 - Metro,Los Angeles - Highland Park,9605920.26855469,17111.3101744739
2429,06037400404,1,1,4453,6.1,729.2,District 5,SPA 3 - San Gabriel,City of Glendora,173910998.557617,70672.4895849269
2430,06037214400,1,1,2877,0.1,21645.3,District 3,SPA 4 - Metro,Los Angeles - Melrose,3705377.33691406,7957.45733088493
2431,06037217100,1,1,5374,0.3,15502.4,District 2,SPA 4 - Metro,Los Angeles - Mid-city,9664107.94140625,12909.2137466999
2432,06037137402,1,1,5364,1.2,4506.1,District 3,SPA 2 - San Fernando,Los Angeles - Woodland Hills,33175391.2207031,30889.3711864673
2433,06037901102,1,1,5557,2,2816.5,District 5,SPA 1 - Antelope Valley,Unincorporated - Quartz Hill,55011048.4140625,31486.118968811
2434,06037186201,1,1,3068,0.2,15221.9,District 1,SPA 4 - Metro,Los Angeles - Glassell Park,5618761.38183594,12105.648109154
2435,06037670500,1,1,1860,3,622,District 4,SPA 8 - South Bay,City of Rolling Hills,83413149.7617188,48187.1570905242
2436,06037209401,1,1,3914,0.1,47004.9,District 1,SPA 4 - Metro,Los Angeles - Westlake,2321352.55761719,6370.71257202256
2437,06037192420,1,1,3637,0.1,28992.3,District 3,SPA 4 - Metro,Los Angeles - Melrose,3497166.15917969,7935.45350963746
2438,06037910202,1,1,5223,7.9,664.6,District 5,SPA 1 - Antelope Valley,Unincorporated - White Fence Farms,219046590.345703,66570.6809080017
2439,06037430200,1,1,1292,2,650.6,District 5,SPA 3 - San Gabriel,City of Bradbury,55567661.7890625,36349.0249666673
2440,06037900103,2,2.1,6170,7.7,805.5,District 5,SPA 1 - Antelope Valley,Unincorporated - Lake Los Angeles,215056395.922852,64046.2455367307
2441,06037900104,2,2.1,6242,16.3,381.8,District 5,SPA 1 - Antelope Valley,Unincorporated - Lake Los Angeles,458512830.418945,86062.9574131284
2442,06037302302,1,1,4895,0.2,20027.3,District 5,SPA 2 - San Fernando,City of Glendale,6813634.22753906,12078.2345881968
2443,06037106645,1,1,3389,1,3472.2,District 3,SPA 2 - San Fernando,Los Angeles - Granada Hills,27207863.296875,30208.2929391285
2444,06037121102,1,1,2721,2.9,944.9,District 5,SPA 2 - San Fernando,Los Angeles - Sun Valley,81153173.1835938,37632.8656446211
2445,06037406702,1,1,5823,1.1,5418.5,District 1,SPA 3 - San Gabriel,City of West Covina,30384918.2900391,24280.7777039093
2446,06037400403,1,1,3815,5,765.7,District 5,SPA 3 - San Gabriel,City of San Dimas,138957167.291016,55009.1781179095
2447,06037502802,1,1,1380,1.5,935.8,District 4,SPA 7 - East,City of Santa Fe Springs,41620220.9101563,37880.4986742997
2448,06037209103,1,1,3216,0,67164.5,District 1,SPA 4 - Metro,Los Angeles - Westlake,1334880.50488281,4693.84849553755
2449,06037650901,1,1,5928,1.4,4330.7,District 4,SPA 8 - South Bay,City of Torrance,38164122.0419922,29584.5620909032
2450,06037120106,1,1,4417,0.1,55567.9,District 3,SPA 2 - San Fernando,Los Angeles - Panorama City,2220341.08007813,6072.52820832696
2451,06037670413,1,1,4782,0.8,5665.2,District 4,SPA 8 - South Bay,City of Rancho Palos Verdes,23535290.3955078,21025.0953539017
2452,06037111206,1,1,4490,1,4453.5,District 3,SPA 2 - San Fernando,Los Angeles - Porter Ranch,28228491.8740234,24118.1239522498
2453,06037278001,1,1,2458,0.6,3944.4,District 2,SPA 5 - West,Los Angeles - Westchester,17381916.0703125,25351.6308700459
2454,06037122121,1,1,2833,0.2,17811.1,District 3,SPA 2 - San Fernando,Los Angeles - Sun Valley,4433980.59179688,12008.0444924721
2455,06037430003,1,1,4604,4.6,1002.4,District 5,SPA 3 - San Gabriel,City of Duarte,128546564.726563,75726.5377928488
2456,06037900704,1,1,3050,2,1527.5,District 5,SPA 1 - Antelope Valley,City of Lancaster,55724343.5166016,31784.7939704908
2457,06037430301,1,1,4422,9.4,471.3,District 5,SPA 3 - San Gabriel,City of Monrovia,263125799.324219,85159.505402575
2458,06037543322,1,1,6611,0.8,8717.7,District 2,SPA 8 - South Bay,City of Carson,21143078.4228516,18335.9848004382
2459,06037533702,1,1,3585,0.1,28649.9,District 4,SPA 7 - East,City of Maywood,3488535.83691406,7593.08622802196
2460,06037543502,1,1,4560,0.4,10719.8,District 2,SPA 8 - South Bay,Unincorporated - West Carson,12077840.2333984,15960.8221426758
2461,06037502801,1,1,6186,0.8,7288.5,District 4,SPA 7 - East,City of Santa Fe Springs,23936249.6982422,19767.091016072
2462,06037124204,1,1,3071,0.1,24522.4,District 5,SPA 2 - San Fernando,Los Angeles - North Hollywood,3491073.75878906,7925.26419238158
2463,06037980020,10,10,0,3.3,0,District 5,SPA 2 - San Fernando,Los Angeles - Sun Valley,91832141.1914063,60535.7312259417
2464,06037262802,1,1,3759,1.3,2924.5,District 3,SPA 5 - West,Los Angeles - Pacific Palisades,36709582.8085938,40433.299302845
2465,06037310501,1,1,3205,0.8,4223,District 5,SPA 2 - San Fernando,City of Burbank,21156697.7763672,24961.6240171063
2466,06037310601,1,1,5716,0.4,14405.2,District 5,SPA 2 - San Fernando,City of Burbank,11060995.2314453,18813.1974028538
2467,06037980025,99,99,0,1.1,0,District 2,SPA 8 - South Bay,City of Carson,31945180.3007813,30144.1399542556
2468,06037980026,2,2,20,5.4,3.7,District 5,SPA 2 - San Fernando,Los Angeles - Angeles National Forest,149614439.521484,102765.535124839
2469,06037267901,1,1,2428,0.4,5616.6,District 3,SPA 5 - West,Los Angeles - Century City,12051542.3310547,15177.3970437094
2470,06037543503,1,1,5687,0.6,8855.9,District 2,SPA 8 - South Bay,Unincorporated - West Carson,18034922.6113281,20305.2630414247
2471,06037183103,1,1,3967,0.2,16090.7,District 1,SPA 4 - Metro,Los Angeles - Highland Park,7067556.20410156,19693.4097795579
2472,06037551101,1,1,3926,0.7,6029.6,District 4,SPA 7 - East,City of Downey,18153042.1279297,22027.8628117793
2473,06037294510,1,1,4214,0.2,21060.6,District 4,SPA 8 - South Bay,Los Angeles - Wilmington,5578850.2265625,9841.6809854027
2474,06037980010,1,1,164,1.4,113.1,District 1,SPA 4 - Metro,Los Angeles - Elysian Park,41264616.2314453,36580.1783191894
2475,06037980014,1,1,239,2.5,95.5,District 4,SPA 8 - South Bay,Los Angeles - Wilmington,80221454.1660156,68203.8481740267
2476,06037400207,1,1,4798,2.1,2290.2,District 5,SPA 3 - San Gabriel,City of La Verne,58456183.5986328,52167.0308057789
2477,06037534101,1,1,2295,0.2,11545.9,District 4,SPA 7 - East,City of Bell Gardens,5541565.45800781,14600.2519655976
2478,06037211310,1,1,3846,0.1,69198.8,District 2,SPA 4 - Metro,Los Angeles - Wilshire Center,1549413.54492188,4998.40395607869
2479,06037670405,1,1,2646,0.6,4570.8,District 4,SPA 8 - South Bay,City of Rancho Palos Verdes,16141977.5273438,22119.6949299485
2480,06037209510,1,1,2692,0.1,38207.9,District 1,SPA 4 - Metro,Los Angeles - Pico-Union,1964228.79589844,5807.66354350172
2481,06037650200,1,1,5783,0.9,6178.8,District 4,SPA 8 - South Bay,City of Torrance,26095711.2265625,30191.1965379278
2482,06037213402,1,1,4645,0.2,30702.1,District 2,SPA 4 - Metro,Los Angeles - Pico-Union,4217750.29394531,8305.57938929934
2483,06037670326,1,1,3807,1.6,2441.2,District 4,SPA 8 - South Bay,City of Palos Verdes Estates,48972956.7021484,40931.3306174769
2484,06037573300,1,1,4323,0.3,14232,District 4,SPA 8 - South Bay,City of Long Beach,8469112.48828125,13252.3950579632
2485,06037534203,1,1,3204,0.3,11018.1,District 4,SPA 7 - East,City of Bell Gardens,8231258.15332031,14678.9325749302
2486,06037534405,1,1,4292,0.2,20965.7,District 4,SPA 7 - East,City of Cudahy,5707270.03027344,10578.3623816734
2487,06037541802,1,1,5431,0.4,12821.6,District 4,SPA 6 - South,City of Lynwood,11781915.8300781,14992.3978238114
2488,06037222002,1,1,4655,0.3,18387.1,District 2,SPA 6 - South,Los Angeles - Exposition Park,7057896.48925781,10841.9180355437
2489,06037650300,1,1,6704,0.7,9275.5,District 4,SPA 8 - South Bay,City of Torrance,20151846.3525391,21083.503760025
2490,06037574400,1,1,5141,1.3,4007.8,District 4,SPA 8 - South Bay,City of Long Beach,36606689.1542969,24464.7911638735
2491,06037574500,1,1,6357,1,6559.7,District 4,SPA 8 - South Bay,City of Long Beach,29312489.7246094,25087.7176212462
2492,06037137301,1,1,2264,0.6,3662.9,District 3,SPA 2 - San Fernando,Los Angeles - Woodland Hills,17325461.9248047,20267.8726127063
2493,06037602600,1,1,7910,0.7,10784.7,District 2,SPA 8 - South Bay,City of Gardena,20959866.7734375,21158.8696955485
2494,06037602700,1,1,3045,1,3187.1,District 2,SPA 8 - South Bay,City of Hawthorne,26713727.3291016,21574.5615050343
2495,06037602900,1,1,4427,1.1,4099.1,District 2,SPA 8 - South Bay,City of Gardena,30119447.3769531,27267.7905197492
2496,06037190520,1,1,3728,0.1,39578.1,District 1,SPA 4 - Metro,Los Angeles - Thai Town,2625881.61425781,6612.05771196989
2497,06037503501,1,1,6481,0.6,10857.5,District 4,SPA 7 - East,Unincorporated - South Whittier,16641690.5771484,22333.0094128948
2498,06037503601,1,1,4168,0.5,7737.6,District 4,SPA 7 - East,City of La Mirada,15017905.9003906,16783.5134451721
2499,06037543100,1,1,6759,1.1,6065.9,District 2,SPA 6 - South,City of Carson,31066013.7666016,25645.4004339983
2500,06037191420,1,1,3365,0.1,38363.4,District 1,SPA 4 - Metro,Los Angeles - East Hollywood,2445268.43066406,6614.97353309898
2501,06037191820,1,1,2647,0.2,16938.7,District 3,SPA 4 - Metro,Los Angeles - Melrose,4356427.20898438,9240.10092947083
2502,06037550100,1,1,7518,0.6,11808.5,District 4,SPA 7 - East,City of Norwalk,17749917.2158203,18519.7831352405
2503,06037603900,1,1,7527,0.6,13027.9,District 2,SPA 8 - South Bay,City of Lawndale,16007151.5107422,21069.3900878952
2504,06037503703,1,1,7876,1,7745.4,District 4,SPA 7 - East,City of La Mirada,28398645.0644531,21548.8767138684
2505,06037480902,1,1,4218,0.2,20967.1,District 1,SPA 3 - San Gabriel,City of Alhambra,5608197.61425781,11519.6772459657
2506,06037910805,2,2,4839,42.5,113.9,District 5,SPA 1 - Antelope Valley,Unincorporated - Acton,1185497453.45703,197863.285749261
2507,06037503801,1,1,4080,0.5,8150.4,District 4,SPA 7 - East,City of La Mirada,13792550.8818359,18432.8559259854
2508,06037550700,1,1,6921,0.8,8304.1,District 4,SPA 7 - East,City of Downey,23978349.9042969,22084.4336054927
2509,06037550800,1,1,7170,1.1,6492.6,District 4,SPA 7 - East,City of Downey,31209861.9667969,23922.1437038859
2510,06037555202,1,1,3399,0.4,8349,District 4,SPA 8 - South Bay,City of Long Beach,11867158.0214844,17610.2646090684
2511,06037650902,1,1,7103,0.8,9233.7,District 4,SPA 8 - South Bay,City of Torrance,21447557.2910156,20523.3623864716
2512,06037651001,1,1,5522,0.5,10095,District 4,SPA 8 - South Bay,City of Torrance,15270388.7675781,19082.6096456823
2513,06037700200,1,1,6321,0.3,23421.3,District 3,SPA 4 - Metro,City of West Hollywood,7523651.03808594,14072.8662502742
2514,06037240200,1,1,5252,0.3,18214.2,District 2,SPA 6 - South,Los Angeles - Vermont Vista,8038890.13769531,11289.1186549115
2515,06037800332,1,1,6665,1.9,3592.3,District 3,SPA 2 - San Fernando,City of Agoura Hills,51727957.3388672,34189.6949714057
2516,06037651101,1,1,5103,2.2,2371.1,District 4,SPA 8 - South Bay,City of Torrance,60021367.8447266,37604.7616687489
2517,06037543305,1,1,2666,3.2,829.2,District 2,SPA 8 - South Bay,Unincorporated - Rancho Dominguez,91339780.4951172,39876.9842063414
2518,06037482303,1,1,5818,0.4,15326.6,District 1,SPA 3 - San Gabriel,City of Rosemead,10582531.0283203,15134.9424260585
2519,06037217002,1,1,4977,0.3,16711.7,District 3,SPA 5 - West,Los Angeles - Crestview,8302513.96191406,11538.6567852492
2520,06037189600,1,1,3529,0.4,8458.8,District 5,SPA 4 - Metro,Los Angeles - Hollywood Hills,11656332.0751953,20247.0658181821
2521,06037297000,1,1,5343,0.6,9574.9,District 4,SPA 8 - South Bay,Los Angeles - San Pedro,15621049.5820313,18849.2002885421
2522,06037480600,1,1,7863,0.9,8742.8,District 5,SPA 3 - San Gabriel,City of South Pasadena,25430074.4296875,28805.4609883287
2523,06037480702,1,1,4460,0.8,5312.9,District 5,SPA 3 - San Gabriel,City of South Pasadena,23422429.3300781,22328.5029419642
2524,06037480703,1,1,3277,0.4,7459.9,District 5,SPA 3 - San Gabriel,City of South Pasadena,12218482.6113281,22394.6062957464
2525,06037576403,1,1,5033,0.1,40165.7,District 4,SPA 8 - South Bay,City of Long Beach,3493763.11132813,7935.17239923605
2526,06037191204,1,1,2124,0.1,27357.1,District 1,SPA 4 - Metro,Los Angeles - East Hollywood,2164426.84472656,5918.99751381141
2527,06037482600,1,1,6866,1,6552,District 1,SPA 3 - San Gabriel,City of Monterey Park,30617173.7246094,24706.658272092
2528,06037408703,1,1,6528,6.6,989.4,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,183886709.143555,70628.529088963
2529,06037402402,1,1,7076,2.1,3431.1,District 1,SPA 3 - San Gabriel,City of Pomona,57569825.0361328,43755.8806069244
2530,06037228500,1,1,5220,0.2,30118.4,District 2,SPA 6 - South,Los Angeles - South Park,4831913.34375,9216.9806048702
2531,06037137104,1,1,2717,1,2742.2,District 3,SPA 2 - San Fernando,Los Angeles - Woodland Hills,27605172.1972656,23404.4055803474
2532,06037141600,1,1,4029,1.5,2709.8,District 3,SPA 2 - San Fernando,Los Angeles - Sherman Oaks,41427680.0244141,37290.6519781671
2533,06037980021,1,1,33,2.5,13.4,District 5,SPA 2 - San Fernando,Los Angeles - Lakeview Terrace,74757777.2373047,51403.146832649
2534,06037482301,1,1,5162,0.3,15303.7,District 1,SPA 3 - San Gabriel,City of San Gabriel,9403183.62597656,17402.0501187917
2535,06037213401,1,1,4951,0.1,65390.3,District 2,SPA 4 - Metro,Los Angeles - Pico-Union,2110768.91894531,6327.27422495143
2536,06037400603,1,1,5249,3.4,1532.9,District 1,SPA 3 - San Gabriel,City of Azusa,98990345.4833984,65079.0995667506
2537,06037301000,1,1,4841,0.8,6127.5,District 5,SPA 2 - San Fernando,City of Glendale,22281599.2294922,21107.76026002
2538,06037403325,1,1,4795,6.1,790.8,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,169048596.739258,81639.3362785054
2539,06037482521,1,1,5754,0.6,9642,District 1,SPA 3 - San Gabriel,Unincorporated - South San Gabriel,16644101.9736328,18967.9911470712
2540,06037920045,2,2,4622,0.7,6401.8,District 5,SPA 2 - San Fernando,City of Santa Clarita,20125039.8291016,19934.1207025707
2541,06037980002,99,99,0,2.6,0,District 2,SPA 8 - South Bay,City of Carson,75167099.3837891,37881.2767786011
2542,06037980004,10,10,169,17.2,9.8,District 5,SPA 1 - Antelope Valley,City of Palmdale,486647530.981445,93074.99673382
2543,06037980028,1,1,4,6.7,0.6,District 2,SPA 5 - West,Los Angeles - Westchester,211703607.483398,85819.2382621021
2544,06037271600,1,1,4475,0.3,12880,District 3,SPA 5 - West,Los Angeles - Mar Vista,9746218.88378906,12575.7924964106
2545,06037214700,1,1,2512,0.2,10965.1,District 3,SPA 4 - Metro,Los Angeles - Carthay,6386540.36132813,10225.8323646984
2546,06037901205,1,1,10466,19,551,District 5,SPA 1 - Antelope Valley,City of Lancaster,530629685.479492,95160.027761561
2547,06037197410,1,1,3704,0.5,6882.7,District 1,SPA 4 - Metro,Los Angeles - Elysian Valley,14996986.3701172,18531.5880563429
2548,06037910709,1,1,1650,5.6,294.6,District 5,SPA 1 - Antelope Valley,Unincorporated - Southeast Antelope Valley,157706746.852539,63838.3899175068
2549,06037134903,1,1,4216,0.2,19344,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,6095027.65625,10483.1769497874
2550,06037139503,1,1,4657,0.1,34292.4,District 3,SPA 2 - San Fernando,Los Angeles - Encino,3785695.0390625,8106.37761361973
2551,06037139504,1,1,3476,0.1,31144.3,District 3,SPA 2 - San Fernando,Los Angeles - Encino,3111312.44726563,8102.19468090092
2552,06037123020,1,1,3432,0.2,15714.5,District 3,SPA 2 - San Fernando,Los Angeles - Sun Valley,6088161.97167969,9872.88288864427
2553,06037310100,1,1,5849,5.1,1153.2,District 5,SPA 2 - San Fernando,City of Burbank,141110744.55957,57419.716640681
2554,06037300701,1,1,6144,5.1,1196.7,District 5,SPA 2 - San Fernando,City of Glendale,144319223.260742,64594.0127149585
2555,06037400204,1,1,6454,2.8,2298.7,District 5,SPA 3 - San Gabriel,City of La Verne,80947561.2304688,38560.5746980674
2556,06037311600,1,1,7249,1.1,6684,District 5,SPA 2 - San Fernando,City of Burbank,30299755.5908203,24855.8729275289
