OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
4340,06037535501,1,1,3866,0.2,20362.1,District 4,SPA 7 - East,City of South Gate,5293204.421875,12074.2902010701
4341,06037218120,1,1,4530,0.2,26353,District 2,SPA 4 - Metro,Los Angeles - Victoria Park,4792162.65722656,8884.87354389798
4342,06037577603,1,1,8255,1,7970.2,District 4,SPA 8 - South Bay,City of Long Beach,32090444.9355469,24338.4700896014
4343,06037603704,1,1,6348,0.2,26333.4,District 2,SPA 8 - South Bay,Unincorporated - El Camino Village,6941975.04492188,10545.7838946666
4344,06037242300,1,1,4586,0.2,18852.3,District 2,SPA 6 - South,Los Angeles - Watts,6781926.14160156,11506.7628011599
4345,06037535503,1,1,2497,0.1,20376.9,District 4,SPA 7 - East,City of South Gate,3416350.03808594,7664.37637203487
4346,06037534201,1,1,4439,0.2,22541.2,District 4,SPA 7 - East,City of Bell Gardens,5490998.05371094,10282.7400249813
4347,06037600201,1,1,4600,0.2,20341.2,District 2,SPA 8 - South Bay,Unincorporated - Athens-Westmont,6304691.20507813,11426.6774102237
4348,06037189701,1,1,3942,1.5,2561.6,District 5,SPA 4 - Metro,Los Angeles - Hollywood Hills,46774534.4560547,39040.6058338818
4349,06037183620,1,1,3264,0.2,16336.5,District 1,SPA 4 - Metro,Los Angeles - Highland Park,5569786.87792969,9445.37317487014
4350,06037212620,1,1,4341,0.1,38954.8,District 2,SPA 4 - Metro,Los Angeles - Koreatown,3106627.79785156,7948.0798431572
4351,06037400205,1,1,3204,9,356.1,District 5,SPA 3 - San Gabriel,City of Claremont,254544898.106445,88576.6872735624
4352,06037212800,1,1,4273,0.3,14165.3,District 2,SPA 4 - Metro,Los Angeles - Country Club Park,8409446.82324219,11737.6307339451
4353,06037502302,1,1,3000,0.3,10352.4,District 4,SPA 7 - East,City of Santa Fe Springs,8079063.32421875,14059.6869806748
4354,06037600100,1,1,6657,0.3,22758.7,District 2,SPA 8 - South Bay,Unincorporated - Athens-Westmont,8154795.44140625,12355.0287872477
4355,06037533603,1,1,6617,0.3,21184.2,District 4,SPA 7 - East,City of Bell,8686453.77636719,16313.6630494809
4356,06037310701,1,1,2361,0.2,11865.9,District 5,SPA 2 - San Fernando,City of Burbank,5546692.86621094,11912.0079529828
4357,06037577602,1,1,3441,0.5,6726.2,District 4,SPA 8 - South Bay,City of Long Beach,15019489.2705078,17337.2256147948
4358,06037600501,1,1,2478,0.3,9847.8,District 2,SPA 8 - South Bay,City of Inglewood,7073794.67285156,10752.0353635951
4359,06037535901,1,1,5757,0.3,17742.1,District 4,SPA 7 - East,City of South Gate,9046374.5,13206.0204001282
4360,06037620501,1,1,5390,1,5405.7,District 2,SPA 8 - South Bay,City of Redondo Beach,27799249.2265625,21157.2414603887
4361,06037620522,1,1,4632,0.3,16030.8,District 2,SPA 8 - South Bay,City of Redondo Beach,8055864.71289063,11356.7872210571
4362,06037620400,1,1,5090,1,5124.8,District 2,SPA 8 - South Bay,City of Manhattan Beach,27802504.5371094,21137.8177732514
4363,06037599000,7,7,3569,1.2,2915.7,District 4,SPA 8 - South Bay,City of Avalon,41343299.5244141,30716.2372254555
4364,06037600302,1,1,3317,0.3,10513.4,District 2,SPA 8 - South Bay,Unincorporated - Athens-Westmont,8796023.62988281,11924.3361864579
4365,06037600400,1,1,3986,0.4,10584.1,District 2,SPA 8 - South Bay,Unincorporated - Athens-Westmont,10608018.5800781,16082.8846430174
4366,06037234700,1,1,3888,0.3,13570.2,District 2,SPA 6 - South,Los Angeles - Hyde Park,7987582.95605469,14837.8394112204
4367,06037504002,1,1,5383,0.6,9031.7,District 4,SPA 7 - East,City of La Mirada,16616861.2626953,17868.5824418618
4368,06037504101,1,1,5126,0.5,10894.9,District 4,SPA 7 - East,City of La Mirada,13117424.3017578,15847.7486711134
4369,06037534900,1,1,6569,0.4,16231.9,District 2,SPA 6 - South,Unincorporated - Florence-Firestone,11282605.2636719,14947.6593824179
4370,06037600703,1,1,1914,0.2,9536.3,District 2,SPA 8 - South Bay,City of Inglewood,5598920.84863281,10887.9848835148
4371,06037530003,1,1,2983,1.4,2167.5,District 1,SPA 7 - East,City of Montebello,38365128.2666016,27806.8891937855
4372,06037530004,1,1,3695,0.5,7366.9,District 1,SPA 7 - East,City of Montebello,14042935.1279297,25888.5925537618
4373,06037601100,1,1,6533,0.2,26414.4,District 2,SPA 8 - South Bay,City of Inglewood,6895336.38769531,10510.8583892804
4374,06037229410,1,1,3343,0.2,15962.2,District 2,SPA 6 - South,Los Angeles - South Park,5838700.42675781,9706.99013629617
4375,06037535101,1,1,7306,0.4,16687.5,District 2,SPA 6 - South,Unincorporated - Florence-Firestone,12205869.3935547,16478.8422990499
4376,06037535200,1,1,5820,0.3,17416.7,District 2,SPA 6 - South,Unincorporated - Florence-Firestone,9316209.734375,17912.1933574914
4377,06037535300,1,1,6251,0.4,14984.4,District 2,SPA 6 - South,Unincorporated - Florence-Firestone,11630273.6474609,16781.0467104375
4378,06037600601,1,1,2461,0.2,9854.1,District 2,SPA 8 - South Bay,City of Inglewood,6962718.89160156,10542.6110970346
