X,Y,OBJECTID,MetroLine,Station,StopNumber,TOOLTIP,NLA_URL
-13152895.32,4033287.444,70,,Atlantic Station,80401,Stop: Atlantic Station\nStop No: 80401,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13153645.28,4033282.876,71,,East LA Civic Center Station,80402,Stop: East LA Civic Center Station\nStop No: 80402,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13154417.17,4033276.832,72,,Maravilla Station,80403,Stop: Maravilla Station\nStop No: 80403,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13157093.52,4033408.609,73,,Indiana Station,80404,Stop: Indiana Station\nStop No: 80404,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13159083.8,4034677.693,74,,Soto Station,80405,Stop: Soto Station\nStop No: 80405,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13160151.02,4035143.61,75,,Mariachi Plaza / Boyle Heights Station,80406,Stop: Mariachi Plaza / Boyle Heights Station\nStop No: 80406,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13160851.44,4035199.903,76,,Pico / Aliso Station,80407,Stop: Pico / Aliso Station\nStop No: 80407,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13161833.17,4036332.135,77,,Union Station - Metro A-Line,80409,Stop: Union Station - Metro A-Line\nStop No: 80409,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13161953.5,4037380.225,78,,Chinatown Station,80410,Stop: Chinatown Station\nStop No: 80410,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13160237.96,4039676.685,79,,Lincoln Heights / Cypress Park Station,80411,Stop: Lincoln Heights / Cypress Park Station\nStop No: 80411,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13159434.68,4040520.503,80,,Heritage Square / Arroyo Station,80412,Stop: Heritage Square / Arroyo Station\nStop No: 80412,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13158710.99,4042001.301,81,,Southwest Museum Station,80413,Stop: Southwest Museum Station\nStop No: 80413,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13157140.72,4043740.437,82,,Highland Park Station,80414,Stop: Highland Park Station\nStop No: 80414,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13153275.7,4044279.198,83,,South Pasadena Station,80415,Stop: South Pasadena Station\nStop No: 80415,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13152189.22,4046744.756,84,,Fillmore Station,80416,Stop: Fillmore Station\nStop No: 80416,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13152199.02,4047873.026,85,,Del Mar Station,80417,Stop: Del Mar Station\nStop No: 80417,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13152120.87,4048740.051,86,,Memorial Park Station,80418,Stop: Memorial Park Station\nStop No: 80418,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13150326.18,4049204.123,87,,Lake Station,80419,Stop: Lake Station\nStop No: 80419,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13148429.07,4049286.313,88,,Allen Station,80420,Stop: Allen Station\nStop No: 80420,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13144740.39,4048658.806,89,,Sierra Madre Villa Station,80421,Stop: Sierra Madre Villa Station\nStop No: 80421,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13138950.33,4048000.802,90,,Arcadia Station,80422,Stop: Arcadia Station\nStop No: 80422,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13136086.53,4046695.534,91,,Monrovia Station,80423,Stop: Monrovia Station\nStop No: 80423,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13132102.07,4046609.866,92,,Duarte / City of Hope Station,80424,Stop: Duarte / City of Hope Station\nStop No: 80424,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13128186.52,4046143.21,93,,Irwindale Station,80425,Stop: Irwindale Station\nStop No: 80425,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13125306.12,4047059.73,94,,Azusa Downtown Station,80426,Stop: Azusa Downtown Station\nStop No: 80426,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13123636.89,4047187.631,95,,APU / Citrus College Station,80427,Stop: APU / Citrus College Station\nStop No: 80427,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13177854.71,4021496.022,96,,Aviation / Century Station,80701,Stop: Aviation / Century Station\nStop No: 80701,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13177854.3,4022072.369,97,,Airport Metro Connector,80702,Stop: Airport Metro Connector\nStop No: 80702,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13177375.48,4023704.915,98,,Westchester / Veterans Station,80703,Stop: Westchester / Veterans Station\nStop No: 80703,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13174828.34,4024392.779,99,,Downtown Inglewood Station,80704,Stop: Downtown Inglewood Station\nStop No: 80704,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13173111.23,4025479.398,100,,Fairview Heights Station,80705,Stop: Fairview Heights Station\nStop No: 80705,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13172526.16,4027215.876,101,,Hyde Park Station,80706,Stop: Hyde Park Station\nStop No: 80706,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13172659.79,4029326.958,102,,Leimert Park Station,80707,Stop: Leimert Park Station\nStop No: 80707,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13173031.95,4030086.228,103,,Martin Luther King Jr Station,80708,Stop: Martin Luther King Jr Station\nStop No: 80708,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13172975.33,4031777.362,104,,Expo / Crenshaw K-Line Station,80709,Stop: Expo / Crenshaw K-Line Station\nStop No: 80709,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13163700.18,4036152.556,105,,Grand Ave Arts / Bunker Hill Station,81401,Stop: Grand Ave Arts / Bunker Hill Station\nStop No: 81401,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13163120.25,4035807.464,106,,Historic Broadway Station,81402,Stop: Historic Broadway Station\nStop No: 81402,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162278.19,4035362.636,107,,Little Tokyo / Arts District Station,81403,Stop: Little Tokyo / Arts District Station\nStop No: 81403,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
